Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,"Returned Refugees","Asylum Seekers",IDPs,"Returned IDPs",Stateless,HST,OOC
2008,Sweden,Ukraine,SWE,UKR,162,0,38,0,0,0,0,0
2009,Sweden,Ukraine,SWE,UKR,163,0,114,0,0,0,0,0
2010,Sweden,Ukraine,SWE,UKR,140,0,111,0,0,0,0,0
2011,Sweden,Ukraine,SWE,UKR,118,0,140,0,0,0,0,0
2012,Sweden,Ukraine,SWE,UKR,111,0,87,0,0,0,0,0
2013,Sweden,Ukraine,SWE,UKR,107,0,92,0,0,0,0,0
2014,Sweden,Ukraine,SWE,UKR,114,0,1094,0,0,0,0,0
2015,Sweden,Ukraine,SWE,UKR,133,0,1697,0,0,0,0,0
2016,Sweden,Ukraine,SWE,UKR,203,0,810,0,0,0,0,0
2017,Sweden,Ukraine,SWE,UKR,208,0,387,0,0,0,0,0
2018,Sweden,Ukraine,SWE,UKR,215,0,445,0,0,0,0,0
2019,Sweden,Ukraine,SWE,UKR,223,0,471,0,0,0,0,0
2020,Sweden,Ukraine,SWE,UKR,232,0,390,0,0,0,0,0
2021,Sweden,Ukraine,SWE,UKR,226,0,334,0,0,0,0,0
2022,Sweden,Ukraine,SWE,UKR,46857,10000,989,0,0,0,0,0
2023,Sweden,Ukraine,SWE,UKR,43467,2977,1111,0,0,0,0,0
2024,Sweden,Ukraine,SWE,UKR,41883,700,202,0,0,0,0,0
