citizen,geo,TIME_PERIOD,Crimes Num Per 100k inhabitants
Total,Czechia,2018,203.36
Total,Czechia,2019,197.64
Total,Czechia,2020,180.35
Total,Czechia,2021,175.19
Total,Czechia,2022,181.16
Total,Germany,2013,82.24
Total,Germany,2014,78.28
Total,Germany,2015,77.61
Total,Germany,2016,78.24
Total,Germany,2017,79.79
Total,Germany,2018,79.43
Total,Germany,2019,76.06
Total,Germany,2020,71.65
Total,Germany,2021,69.18
Total,Germany,2022,69.04
Total,Denmark,2013,73.02
Total,Denmark,2014,63.67
Total,Denmark,2015,56.59
Total,Denmark,2016,59.71
Total,Denmark,2017,59.46
Total,Denmark,2018,62.88
Total,Denmark,2019,67.52
Total,Denmark,2020,71.55
Total,Denmark,2021,72.29
Total,Denmark,2022,71.64
Total,Estonia,2013,228.98
Total,Estonia,2014,230.58
Total,Estonia,2015,214.7
Total,Estonia,2016,217.64
Total,Estonia,2017,206.97
Total,Estonia,2018,195.89
Total,Estonia,2019,187.72
Total,Estonia,2020,176.68
Total,Estonia,2021,164.58
Total,Estonia,2022,155.65
Total,Greece,2013,115.35
Total,Greece,2014,107.97
Total,Greece,2015,88.52
Total,Greece,2016,88.65
Total,Greece,2017,92.97
Total,Greece,2018,99.19
Total,Greece,2019,101.55
Total,Greece,2020,106.16
Total,Greece,2021,103.29
Total,Greece,2022,100.63
Total,Spain,2013,142.88
Total,Spain,2014,139.78
Total,Spain,2015,132.65
Total,Spain,2016,128.31
Total,Spain,2017,126.4
Total,Spain,2018,126.2
Total,Spain,2019,124.67
Total,Spain,2020,116.58
Total,Spain,2021,116.24
Total,Spain,2022,117.54
Total,Finland,2013,60.72
Total,Finland,2014,57.75
Total,Finland,2015,57.29
Total,Finland,2016,57.51
Total,Finland,2017,56.0
Total,Finland,2018,53.62
Total,Finland,2019,53.37
Total,Finland,2020,49.79
Total,Finland,2021,50.8
Total,Finland,2022,51.57
Total,France,2013,102.25
Total,France,2014,100.5
Total,France,2015,100.29
Total,France,2016,102.5
Total,France,2017,103.25
Total,France,2018,104.69
Total,France,2019,105.3
Total,France,2020,92.9
Total,France,2021,102.65
Total,France,2022,106.34
Total,Croatia,2013,102.11
Total,Croatia,2014,88.61
Total,Croatia,2015,79.07
Total,Croatia,2016,74.16
Total,Croatia,2017,76.79
Total,Croatia,2018,78.36
Total,Croatia,2019,86.67
Total,Croatia,2020,87.01
Total,Croatia,2021,96.75
Total,Croatia,2022,105.92
Total,Hungary,2013,180.05
Total,Hungary,2014,181.12
Total,Hungary,2015,177.05
Total,Hungary,2016,179.62
Total,Hungary,2017,177.01
Total,Hungary,2018,166.73
Total,Hungary,2019,167.14
Total,Hungary,2020,171.47
Total,Hungary,2021,191.38
Total,Hungary,2022,199.68
Total,Ireland,2013,89.04
Total,Ireland,2014,82.01
Total,Ireland,2015,81.12
Total,Ireland,2016,78.67
Total,Ireland,2017,76.92
Total,Ireland,2018,82.02
Total,Ireland,2019,81.91
Total,Ireland,2020,76.75
Total,Ireland,2021,76.02
Total,Ireland,2022,86.34
Total,Iceland,2013,45.67
Total,Iceland,2014,47.29
Total,Iceland,2015,42.24
Total,Iceland,2016,34.88
Total,Iceland,2017,40.49
Total,Iceland,2018,39.03
Total,Iceland,2019,44.26
Total,Iceland,2020,38.72
Total,Iceland,2021,38.5
Total,Iceland,2022,36.68
Total,Italy,2013,106.97
Total,Italy,2014,90.07
Total,Italy,2015,87.85
Total,Italy,2016,92.27
Total,Italy,2017,97.44
Total,Italy,2018,101.07
Total,Italy,2019,104.04
Total,Italy,2020,91.56
Total,Italy,2021,93.44
Total,Italy,2022,97.33
Total,Liechtenstein,2013,184.59
Total,Liechtenstein,2014,142.75
Total,Liechtenstein,2015,141.84
Total,Liechtenstein,2016,191.38
Total,Liechtenstein,2017,193.07
Total,Liechtenstein,2018,165.29
Total,Liechtenstein,2019,112.04
Total,Liechtenstein,2020,147.11
Total,Liechtenstein,2021,133.15
Total,Liechtenstein,2022,147.55
Total,Lithuania,2013,311.62
Total,Lithuania,2014,293.4
Total,Lithuania,2015,251.77
Total,Lithuania,2016,235.93
Total,Lithuania,2017,231.71
Total,Lithuania,2018,230.87
Total,Lithuania,2019,219.67
Total,Lithuania,2020,190.4
Total,Lithuania,2021,181.92
Total,Lithuania,2022,177.23
Total,Luxembourg,2013,122.15
Total,Luxembourg,2014,113.88
Total,Luxembourg,2015,122.74
Total,Luxembourg,2017,115.8
Total,Luxembourg,2018,108.97
Total,Luxembourg,2019,96.76
Total,Luxembourg,2020,88.96
Total,Luxembourg,2021,97.21
Total,Luxembourg,2022,109.24
Total,Latvia,2013,253.78
Total,Latvia,2014,237.08
Total,Latvia,2015,221.99
Total,Latvia,2016,215.49
Total,Latvia,2017,193.07
Total,Latvia,2018,182.07
Total,Latvia,2019,177.82
Total,Latvia,2020,162.71
Total,Latvia,2021,168.13
Total,Latvia,2022,172.14
Total,Montenegro,2013,171.37
Total,Montenegro,2014,180.69
Total,Montenegro,2015,181.8
Total,Montenegro,2016,180.48
Total,Montenegro,2017,179.79
Total,Montenegro,2018,180.76
Total,Montenegro,2019,175.19
Total,Montenegro,2020,130.25
Total,Montenegro,2021,148.21
Total,Montenegro,2022,166.1
Total,North Macedonia,2016,155.99
Total,North Macedonia,2017,146.16
Total,Malta,2013,145.95
Total,Malta,2014,136.58
Total,Malta,2015,129.41
Total,Malta,2016,122.78
Total,Malta,2017,128.4
Total,Malta,2018,133.49
Total,Malta,2019,152.77
Total,Malta,2020,167.91
Total,Malta,2021,118.97
Total,Malta,2022,107.3
Total,Netherlands,2013,75.81
Total,Netherlands,2014,70.91
Total,Netherlands,2015,64.2
Total,Netherlands,2016,62.44
Total,Netherlands,2017,63.66
Total,Netherlands,2018,65.48
Total,Netherlands,2019,68.15
Total,Netherlands,2020,63.33
Total,Netherlands,2021,64.71
Total,Netherlands,2022,63.89
Total,Norway,2013,76.59
Total,Norway,2014,80.33
Total,Norway,2015,78.51
Total,Norway,2016,80.45
Total,Norway,2017,79.19
Total,Norway,2018,71.59
Total,Norway,2019,66.83
Total,Norway,2020,65.82
Total,Norway,2021,67.72
Total,Norway,2022,67.96
Total,Poland,2013,210.61
Total,Poland,2014,208.7
Total,Poland,2015,191.27
Total,Poland,2016,190.19
Total,Poland,2017,196.14
Total,Poland,2018,191.74
Total,Poland,2019,196.49
Total,Poland,2020,180.08
Total,Poland,2021,190.99
Total,Poland,2022,190.48
Total,Portugal,2013,138.6
Total,Portugal,2014,136.16
Total,Portugal,2015,138.54
Total,Portugal,2016,134.58
Total,Portugal,2017,131.79
Total,Portugal,2018,126.53
Total,Portugal,2019,125.99
Total,Portugal,2020,111.71
Total,Portugal,2021,113.65
Total,Portugal,2022,120.77
Total,Romania,2013,167.0
Total,Romania,2014,151.18
Total,Romania,2015,142.59
Total,Romania,2016,138.94
Total,Romania,2017,119.37
Total,Romania,2018,106.46
Total,Romania,2019,105.99
Total,Romania,2020,112.54
Total,Romania,2021,119.72
Total,Romania,2022,121.21
Total,Serbia,2013,139.68
Total,Serbia,2014,143.95
Total,Serbia,2015,141.46
Total,Serbia,2016,150.81
Total,Serbia,2017,153.5
Total,Serbia,2018,155.27
Total,Serbia,2019,159.07
Total,Serbia,2020,152.16
Total,Serbia,2021,153.63
Total,Serbia,2022,158.7
Total,Sweden,2013,59.89
Total,Sweden,2014,60.21
Total,Sweden,2015,58.39
Total,Sweden,2016,57.44
Total,Sweden,2017,57.16
Total,Sweden,2018,60.41
Total,Sweden,2019,65.68
Total,Sweden,2020,70.66
Total,Sweden,2021,74.92
Total,Sweden,2022,80.5
Total,Slovenia,2013,66.06
Total,Slovenia,2014,73.84
Total,Slovenia,2015,67.82
Total,Slovenia,2016,63.37
Total,Slovenia,2018,65.12
Total,Slovenia,2019,67.09
Total,Slovenia,2020,69.14
Total,Slovenia,2021,53.86
Total,Slovenia,2022,65.49
Total,Slovakia,2013,180.25
Total,Slovakia,2014,185.01
Total,Slovakia,2015,182.85
Total,Slovakia,2016,184.2
Total,Slovakia,2017,184.5
Total,Slovakia,2018,189.12
Total,Slovakia,2019,193.65
Total,Slovakia,2020,192.73
Total,Slovakia,2021,185.06
Total,Slovakia,2022,181.04
Total,Türkiye,2013,192.35
Total,Türkiye,2014,207.91
Total,Türkiye,2015,229.43
Total,Türkiye,2016,254.92
Total,Türkiye,2017,292.45
Total,Türkiye,2018,327.73
Total,Türkiye,2019,355.53
Total,Türkiye,2020,322.15
Total,Türkiye,2021,356.23
Total,Türkiye,2022,403.04
Total,England and Wales,2013,144.27
Total,England and Wales,2014,146.35
Total,England and Wales,2015,146.42
Total,England and Wales,2016,143.78
Total,England and Wales,2017,144.19
Total,England and Wales,2018,138.91
Total,Scotland (NUTS 2021),2013,148.38
Total,Scotland (NUTS 2021),2014,144.84
Total,Scotland (NUTS 2021),2015,144.57
Total,Scotland (NUTS 2021),2016,140.64
Total,Scotland (NUTS 2021),2017,137.34
Total,Northern Ireland (UK) (NUTS 2021),2013,98.32
Total,Northern Ireland (UK) (NUTS 2021),2014,93.02
Total,Northern Ireland (UK) (NUTS 2021),2015,78.34
Total,Northern Ireland (UK) (NUTS 2021),2016,75.7
Total,Northern Ireland (UK) (NUTS 2021),2017,75.59
Total,Northern Ireland (UK) (NUTS 2021),2018,75.0
Total,Kosovo*,2016,93.02
Total,Kosovo*,2017,95.82
Total,Kosovo*,2018,87.13
Total,Kosovo*,2019,100.58
Total,Kosovo*,2020,78.33
