citizenship,geo,employment_rate,year,Sex
Foreign country,Finland,47.4,2011,Females
Foreign country,Finland,51.2,2012,Females
Foreign country,Finland,51.7,2013,Females
Foreign country,Finland,47.1,2014,Females
Foreign country,Finland,47.1,2015,Females
Foreign country,Finland,45.6,2016,Females
Foreign country,Finland,46.7,2017,Females
Foreign country,Finland,47.5,2018,Females
Foreign country,Finland,51.6,2019,Females
Foreign country,Finland,52.6,2020,Females
Foreign country,Finland,53.1,2021,Females
Foreign country,Finland,62.1,2022,Females
Foreign country,Finland,58.3,2023,Females
Foreign country,Finland,51.3,2024,Females
Foreign country,Finland,43.2,1995,Males
Foreign country,Finland,46.2,1996,Males
Foreign country,Finland,48.5,1997,Males
Foreign country,Finland,52.8,1998,Males
Foreign country,Finland,58.9,1999,Males
Foreign country,Finland,58.0,2000,Males
Foreign country,Finland,67.7,2001,Males
Foreign country,Finland,67.0,2002,Males
Foreign country,Finland,65.8,2003,Males
Foreign country,Finland,66.6,2004,Males
Foreign country,Finland,63.0,2005,Males
Foreign country,Finland,66.5,2006,Males
Foreign country,Finland,68.5,2007,Males
Foreign country,Finland,69.6,2008,Males
Foreign country,Finland,64.8,2009,Males
Foreign country,Finland,63.4,2010,Males
Foreign country,Finland,65.1,2011,Males
Foreign country,Finland,65.7,2012,Males
Foreign country,Finland,65.0,2013,Males
Foreign country,Finland,65.3,2014,Males
Foreign country,Finland,65.0,2015,Males
Foreign country,Finland,65.7,2016,Males
Foreign country,Finland,69.5,2017,Males
Foreign country,Finland,67.6,2018,Males
Foreign country,Finland,67.1,2019,Males
Foreign country,Finland,68.6,2020,Males
Foreign country,Finland,71.6,2021,Males
Foreign country,Finland,74.0,2022,Males
Foreign country,Finland,71.2,2023,Males
Foreign country,Finland,69.7,2024,Males
Foreign country,Finland,45.0,1995,Total
Foreign country,Finland,47.1,1996,Total
Foreign country,Finland,41.6,1997,Total
Foreign country,Finland,42.1,1998,Total
Foreign country,Finland,49.5,1999,Total
Foreign country,Finland,51.8,2000,Total
Foreign country,Finland,55.1,2001,Total
Foreign country,Finland,60.0,2002,Total
Foreign country,Finland,58.4,2003,Total
Foreign country,Finland,52.3,2004,Total
Foreign country,Finland,53.1,2005,Total
Foreign country,Finland,56.3,2006,Total
Foreign country,Finland,59.0,2007,Total
Foreign country,Finland,61.1,2008,Total
Foreign country,Finland,58.7,2009,Total
Foreign country,Finland,55.7,2010,Total
Foreign country,Finland,56.1,2011,Total
Foreign country,Finland,58.7,2012,Total
Foreign country,Finland,58.5,2013,Total
Foreign country,Finland,56.7,2014,Total
Foreign country,Finland,56.0,2015,Total
Foreign country,Finland,55.5,2016,Total
Foreign country,Finland,58.3,2017,Total
Foreign country,Finland,57.7,2018,Total
Foreign country,Finland,59.8,2019,Total
Foreign country,Finland,61.2,2020,Total
Foreign country,Finland,63.2,2021,Total
Foreign country,Finland,68.6,2022,Total
Foreign country,Finland,65.2,2023,Total
Foreign country,Finland,60.9,2024,Total
Reporting country,Finland,58.2,1995,Females
Reporting country,Finland,58.5,1996,Females
Reporting country,Finland,59.5,1997,Females
Reporting country,Finland,60.8,1998,Females
Reporting country,Finland,65.0,1999,Females
Reporting country,Finland,65.4,2000,Females
Reporting country,Finland,67.0,2001,Females
Reporting country,Finland,67.5,2002,Females
Reporting country,Finland,67.3,2003,Females
Reporting country,Finland,66.7,2004,Females
Reporting country,Finland,66.9,2005,Females
Reporting country,Finland,67.7,2006,Females
Reporting country,Finland,68.9,2007,Females
Reporting country,Finland,69.3,2008,Females
Reporting country,Finland,68.3,2009,Females
Reporting country,Finland,67.4,2010,Females
Reporting country,Finland,68.0,2011,Females
Reporting country,Finland,68.6,2012,Females
Reporting country,Finland,68.4,2013,Females
Reporting country,Finland,68.7,2014,Females
Reporting country,Finland,68.6,2015,Females
Reporting country,Finland,68.6,2016,Females
Reporting country,Finland,69.4,2017,Females
Reporting country,Finland,71.6,2018,Females
Reporting country,Finland,72.7,2019,Females
Reporting country,Finland,71.5,2020,Females
Reporting country,Finland,72.8,2021,Females
Reporting country,Finland,74.6,2022,Females
Reporting country,Finland,75.3,2023,Females
Reporting country,Finland,74.1,2024,Females
Reporting country,Finland,61.6,1995,Males
Reporting country,Finland,62.6,1996,Males
Reporting country,Finland,64.7,1997,Males
Reporting country,Finland,66.4,1998,Males
Reporting country,Finland,70.3,1999,Males
Reporting country,Finland,71.3,2000,Males
Reporting country,Finland,71.7,2001,Males
Reporting country,Finland,70.9,2002,Males
Reporting country,Finland,70.4,2003,Males
Reporting country,Finland,70.4,2004,Males
Reporting country,Finland,70.4,2005,Males
Reporting country,Finland,71.5,2006,Males
Reporting country,Finland,72.2,2007,Males
Reporting country,Finland,73.2,2008,Males
Reporting country,Finland,69.6,2009,Males
Reporting country,Finland,69.5,2010,Males
Reporting country,Finland,70.7,2011,Males
Reporting country,Finland,70.7,2012,Males
Reporting country,Finland,70.1,2013,Males
Reporting country,Finland,69.6,2014,Males
Reporting country,Finland,69.5,2015,Males
Reporting country,Finland,70.7,2016,Males
Reporting country,Finland,71.5,2017,Males
Reporting country,Finland,73.7,2018,Males
Reporting country,Finland,74.4,2019,Males
Reporting country,Finland,73.6,2020,Males
Reporting country,Finland,73.7,2021,Males
Reporting country,Finland,74.8,2022,Males
Reporting country,Finland,74.1,2023,Males
Reporting country,Finland,73.1,2024,Males
Reporting country,Finland,59.9,1995,Total
Reporting country,Finland,60.6,1996,Total
Reporting country,Finland,62.1,1997,Total
Reporting country,Finland,63.6,1998,Total
Reporting country,Finland,67.7,1999,Total
Reporting country,Finland,68.4,2000,Total
Reporting country,Finland,69.3,2001,Total
Reporting country,Finland,69.2,2002,Total
Reporting country,Finland,68.9,2003,Total
Reporting country,Finland,68.6,2004,Total
Reporting country,Finland,68.7,2005,Total
Reporting country,Finland,69.6,2006,Total
Reporting country,Finland,70.5,2007,Total
Reporting country,Finland,71.3,2008,Total
Reporting country,Finland,68.9,2009,Total
Reporting country,Finland,68.5,2010,Total
Reporting country,Finland,69.4,2011,Total
Reporting country,Finland,69.7,2012,Total
Reporting country,Finland,69.2,2013,Total
Reporting country,Finland,69.2,2014,Total
Reporting country,Finland,69.0,2015,Total
Reporting country,Finland,69.7,2016,Total
Reporting country,Finland,70.5,2017,Total
Reporting country,Finland,72.7,2018,Total
Reporting country,Finland,73.5,2019,Total
Reporting country,Finland,72.6,2020,Total
Reporting country,Finland,73.3,2021,Total
Reporting country,Finland,74.7,2022,Total
Reporting country,Finland,74.7,2023,Total
Reporting country,Finland,73.6,2024,Total
Total,Finland,58.1,1995,Females
Total,Finland,58.4,1996,Females
Total,Finland,59.2,1997,Females
Total,Finland,60.5,1998,Females
Total,Finland,64.6,1999,Females
Total,Finland,65.2,2000,Females
Total,Finland,66.6,2001,Females
Total,Finland,67.3,2002,Females
Total,Finland,67.1,2003,Females
Total,Finland,66.2,2004,Females
Total,Finland,66.5,2005,Females
Total,Finland,67.3,2006,Females
Total,Finland,68.5,2007,Females
Total,Finland,69.0,2008,Females
Total,Finland,67.9,2009,Females
Total,Finland,66.9,2010,Females
Total,Finland,67.4,2011,Females
Total,Finland,68.2,2012,Females
Total,Finland,67.8,2013,Females
Total,Finland,68.0,2014,Females
Total,Finland,67.7,2015,Females
Total,Finland,67.6,2016,Females
Total,Finland,68.5,2017,Females
Total,Finland,70.6,2018,Females
Total,Finland,71.8,2019,Females
Total,Finland,70.7,2020,Females
Total,Finland,71.7,2021,Females
Total,Finland,73.9,2022,Females
Total,Finland,74.1,2023,Females
Total,Finland,72.4,2024,Females
Total,Finland,61.4,1995,Males
Total,Finland,62.4,1996,Males
Total,Finland,64.5,1997,Males
Total,Finland,66.2,1998,Males
Total,Finland,70.2,1999,Males
Total,Finland,71.1,2000,Males
Total,Finland,71.6,2001,Males
Total,Finland,70.9,2002,Males
Total,Finland,70.3,2003,Males
Total,Finland,70.3,2004,Males
Total,Finland,70.3,2005,Males
Total,Finland,71.4,2006,Males
Total,Finland,72.1,2007,Males
Total,Finland,73.1,2008,Males
Total,Finland,69.5,2009,Males
Total,Finland,69.4,2010,Males
Total,Finland,70.6,2011,Males
Total,Finland,70.5,2012,Males
Total,Finland,69.9,2013,Males
Total,Finland,69.5,2014,Males
Total,Finland,69.3,2015,Males
Total,Finland,70.5,2016,Males
Total,Finland,71.4,2017,Males
Total,Finland,73.5,2018,Males
Total,Finland,74.1,2019,Males
Total,Finland,73.4,2020,Males
Total,Finland,73.6,2021,Males
Total,Finland,74.7,2022,Males
Total,Finland,73.9,2023,Males
Total,Finland,72.8,2024,Males
Total,Finland,59.7,1995,Total
Total,Finland,60.5,1996,Total
Total,Finland,61.9,1997,Total
Total,Finland,63.4,1998,Total
Total,Finland,67.4,1999,Total
Total,Finland,68.1,2000,Total
Total,Finland,69.1,2001,Total
Total,Finland,69.1,2002,Total
Total,Finland,68.7,2003,Total
Total,Finland,68.3,2004,Total
Total,Finland,68.4,2005,Total
Total,Finland,69.3,2006,Total
Total,Finland,70.3,2007,Total
Total,Finland,71.1,2008,Total
Total,Finland,68.7,2009,Total
Total,Finland,68.1,2010,Total
Total,Finland,69.0,2011,Total
Total,Finland,69.4,2012,Total
Total,Finland,68.9,2013,Total
Total,Finland,68.7,2014,Total
Total,Finland,68.5,2015,Total
Total,Finland,69.1,2016,Total
Total,Finland,70.0,2017,Total
Total,Finland,72.1,2018,Total
Total,Finland,72.9,2019,Total
Total,Finland,72.1,2020,Total
Total,Finland,72.7,2021,Total
Total,Finland,74.3,2022,Total
Total,Finland,74.0,2023,Total
Total,Finland,72.6,2024,Total
Foreign country,France,35.7,1995,Females
Foreign country,France,35.2,1996,Females
Foreign country,France,34.8,1997,Females
Foreign country,France,36.1,1998,Females
Foreign country,France,35.8,1999,Females
Foreign country,France,36.4,2000,Females
Foreign country,France,38.2,2001,Females
Foreign country,France,38.6,2002,Females
Foreign country,France,43.8,2003,Females
Foreign country,France,41.9,2004,Females
Foreign country,France,40.2,2005,Females
Foreign country,France,42.4,2006,Females
Foreign country,France,43.2,2007,Females
Foreign country,France,46.0,2008,Females
Foreign country,France,44.0,2009,Females
Foreign country,France,42.4,2010,Females
Foreign country,France,43.5,2011,Females
Foreign country,France,42.3,2012,Females
Foreign country,France,42.8,2013,Females
Foreign country,France,44.3,2014,Females
Foreign country,France,42.8,2015,Females
Foreign country,France,42.3,2016,Females
Foreign country,France,43.1,2017,Females
Foreign country,France,44.6,2018,Females
Foreign country,France,44.8,2019,Females
Foreign country,France,45.2,2020,Females
Foreign country,France,47.6,2021,Females
Foreign country,France,48.6,2022,Females
Foreign country,France,51.4,2023,Females
Foreign country,France,50.7,2024,Females
Foreign country,France,60.5,1995,Males
Foreign country,France,59.5,1996,Males
Foreign country,France,59.6,1997,Males
Foreign country,France,59.3,1998,Males
Foreign country,France,59.7,1999,Males
Foreign country,France,62.8,2000,Males
Foreign country,France,64.5,2001,Males
Foreign country,France,62.6,2002,Males
Foreign country,France,61.7,2003,Males
Foreign country,France,66.0,2004,Males
Foreign country,France,65.5,2005,Males
Foreign country,France,64.4,2006,Males
Foreign country,France,64.6,2007,Males
Foreign country,France,66.3,2008,Males
Foreign country,France,62.3,2009,Males
Foreign country,France,65.9,2010,Males
Foreign country,France,64.9,2011,Males
Foreign country,France,64.2,2012,Males
Foreign country,France,64.8,2013,Males
Foreign country,France,61.9,2014,Males
Foreign country,France,59.8,2015,Males
Foreign country,France,61.6,2016,Males
Foreign country,France,62.3,2017,Males
Foreign country,France,67.0,2018,Males
Foreign country,France,68.0,2019,Males
Foreign country,France,67.3,2020,Males
Foreign country,France,67.8,2021,Males
Foreign country,France,68.8,2022,Males
Foreign country,France,68.1,2023,Males
Foreign country,France,68.9,2024,Males
Foreign country,France,48.9,1995,Total
Foreign country,France,48.0,1996,Total
Foreign country,France,47.8,1997,Total
Foreign country,France,48.2,1998,Total
Foreign country,France,48.2,1999,Total
Foreign country,France,50.0,2000,Total
Foreign country,France,51.5,2001,Total
Foreign country,France,50.7,2002,Total
Foreign country,France,52.8,2003,Total
Foreign country,France,54.1,2004,Total
Foreign country,France,52.9,2005,Total
Foreign country,France,53.2,2006,Total
Foreign country,France,53.6,2007,Total
Foreign country,France,55.9,2008,Total
Foreign country,France,52.9,2009,Total
Foreign country,France,53.7,2010,Total
Foreign country,France,53.8,2011,Total
Foreign country,France,53.0,2012,Total
Foreign country,France,53.3,2013,Total
Foreign country,France,52.4,2014,Total
Foreign country,France,50.8,2015,Total
Foreign country,France,51.4,2016,Total
Foreign country,France,52.0,2017,Total
Foreign country,France,55.1,2018,Total
Foreign country,France,55.7,2019,Total
Foreign country,France,55.7,2020,Total
Foreign country,France,57.2,2021,Total
Foreign country,France,58.1,2022,Total
Foreign country,France,59.1,2023,Total
Foreign country,France,59.3,2024,Total
Reporting country,France,53.2,1995,Females
Reporting country,France,53.6,1996,Females
Reporting country,France,53.4,1997,Females
Reporting country,France,54.1,1998,Females
Reporting country,France,54.8,1999,Females
Reporting country,France,56.1,2000,Females
Reporting country,France,57.0,2001,Females
Reporting country,France,57.7,2002,Females
Reporting country,France,59.2,2003,Females
Reporting country,France,58.6,2004,Females
Reporting country,France,59.5,2005,Females
Reporting country,France,59.6,2006,Females
Reporting country,France,60.7,2007,Females
Reporting country,France,61.3,2008,Females
Reporting country,France,60.9,2009,Females
Reporting country,France,61.0,2010,Females
Reporting country,France,60.9,2011,Females
Reporting country,France,61.4,2012,Females
Reporting country,France,61.7,2013,Females
Reporting country,France,61.5,2014,Females
Reporting country,France,62.0,2015,Females
Reporting country,France,62.4,2016,Females
Reporting country,France,62.8,2017,Females
Reporting country,France,63.4,2018,Females
Reporting country,France,64.0,2019,Females
Reporting country,France,63.7,2020,Females
Reporting country,France,66.0,2021,Females
Reporting country,France,67.2,2022,Females
Reporting country,France,67.4,2023,Females
Reporting country,France,67.9,2024,Females
Reporting country,France,67.9,1995,Males
Reporting country,France,67.9,1996,Males
Reporting country,France,67.5,1997,Males
Reporting country,France,67.9,1998,Males
Reporting country,France,68.1,1999,Males
Reporting country,France,69.2,2000,Males
Reporting country,France,70.2,2001,Males
Reporting country,France,70.2,2002,Males
Reporting country,France,70.3,2003,Males
Reporting country,France,69.6,2004,Males
Reporting country,France,69.5,2005,Males
Reporting country,France,69.2,2006,Males
Reporting country,France,69.5,2007,Males
Reporting country,France,69.9,2008,Males
Reporting country,France,68.8,2009,Males
Reporting country,France,68.5,2010,Males
Reporting country,France,68.4,2011,Males
Reporting country,France,68.4,2012,Males
Reporting country,France,68.0,2013,Males
Reporting country,France,67.5,2014,Males
Reporting country,France,67.7,2015,Males
Reporting country,France,68.0,2016,Males
Reporting country,France,68.8,2017,Males
Reporting country,France,69.0,2018,Males
Reporting country,France,68.9,2019,Males
Reporting country,France,68.6,2020,Males
Reporting country,France,70.3,2021,Males
Reporting country,France,71.0,2022,Males
Reporting country,France,71.2,2023,Males
Reporting country,France,71.9,2024,Males
Reporting country,France,60.4,1995,Total
Reporting country,France,60.6,1996,Total
Reporting country,France,60.3,1997,Total
Reporting country,France,60.8,1998,Total
Reporting country,France,61.3,1999,Total
Reporting country,France,62.6,2000,Total
Reporting country,France,63.5,2001,Total
Reporting country,France,63.9,2002,Total
Reporting country,France,64.6,2003,Total
Reporting country,France,64.0,2004,Total
Reporting country,France,64.4,2005,Total
Reporting country,France,64.4,2006,Total
Reporting country,France,65.0,2007,Total
Reporting country,France,65.5,2008,Total
Reporting country,France,64.8,2009,Total
Reporting country,France,64.7,2010,Total
Reporting country,France,64.6,2011,Total
Reporting country,France,64.8,2012,Total
Reporting country,France,64.8,2013,Total
Reporting country,France,64.5,2014,Total
Reporting country,France,64.8,2015,Total
Reporting country,France,65.1,2016,Total
Reporting country,France,65.8,2017,Total
Reporting country,France,66.2,2018,Total
Reporting country,France,66.4,2019,Total
Reporting country,France,66.1,2020,Total
Reporting country,France,68.1,2021,Total
Reporting country,France,69.0,2022,Total
Reporting country,France,69.3,2023,Total
Reporting country,France,69.9,2024,Total
Total,France,52.1,1995,Females
Total,France,52.4,1996,Females
Total,France,52.2,1997,Females
Total,France,52.9,1998,Females
Total,France,53.5,1999,Females
Total,France,54.8,2000,Females
Total,France,55.7,2001,Females
Total,France,56.4,2002,Females
Total,France,58.3,2003,Females
Total,France,57.7,2004,Females
Total,France,58.4,2005,Females
Total,France,58.6,2006,Females
Total,France,59.6,2007,Females
Total,France,60.3,2008,Females
Total,France,59.9,2009,Females
Total,France,59.8,2010,Females
Total,France,59.7,2011,Females
Total,France,60.1,2012,Females
Total,France,60.4,2013,Females
Total,France,60.3,2014,Females
Total,France,60.6,2015,Females
Total,France,60.9,2016,Females
Total,France,61.2,2017,Females
Total,France,61.9,2018,Females
Total,France,62.5,2019,Females
Total,France,62.2,2020,Females
Total,France,64.5,2021,Females
Total,France,65.6,2022,Females
Total,France,66.0,2023,Females
Total,France,66.4,2024,Females
Total,France,67.4,1995,Males
Total,France,67.3,1996,Males
Total,France,66.9,1997,Males
Total,France,67.3,1998,Males
Total,France,67.5,1999,Males
Total,France,68.8,2000,Males
Total,France,69.8,2001,Males
Total,France,69.6,2002,Males
Total,France,69.8,2003,Males
Total,France,69.4,2004,Males
Total,France,69.3,2005,Males
Total,France,69.0,2006,Males
Total,France,69.2,2007,Males
Total,France,69.7,2008,Males
Total,France,68.4,2009,Males
Total,France,68.3,2010,Males
Total,France,68.2,2011,Males
Total,France,68.1,2012,Males
Total,France,67.8,2013,Males
Total,France,67.1,2014,Males
Total,France,67.1,2015,Males
Total,France,67.5,2016,Males
Total,France,68.4,2017,Males
Total,France,68.9,2018,Males
Total,France,68.8,2019,Males
Total,France,68.5,2020,Males
Total,France,70.1,2021,Males
Total,France,70.8,2022,Males
Total,France,71.0,2023,Males
Total,France,71.6,2024,Males
Total,France,59.6,1995,Total
Total,France,59.7,1996,Total
Total,France,59.5,1997,Total
Total,France,60.0,1998,Total
Total,France,60.4,1999,Total
Total,France,61.7,2000,Total
Total,France,62.7,2001,Total
Total,France,62.9,2002,Total
Total,France,64.0,2003,Total
Total,France,63.4,2004,Total
Total,France,63.8,2005,Total
Total,France,63.7,2006,Total
Total,France,64.3,2007,Total
Total,France,64.9,2008,Total
Total,France,64.1,2009,Total
Total,France,64.0,2010,Total
Total,France,63.9,2011,Total
Total,France,64.0,2012,Total
Total,France,64.0,2013,Total
Total,France,63.7,2014,Total
Total,France,63.8,2015,Total
Total,France,64.2,2016,Total
Total,France,64.7,2017,Total
Total,France,65.3,2018,Total
Total,France,65.6,2019,Total
Total,France,65.3,2020,Total
Total,France,67.2,2021,Total
Total,France,68.1,2022,Total
Total,France,68.4,2023,Total
Total,France,69.0,2024,Total
Foreign country,Germany,43.8,1995,Females
Foreign country,Germany,42.3,1996,Females
Foreign country,Germany,40.7,1997,Females
Foreign country,Germany,41.1,1998,Females
Foreign country,Germany,42.6,1999,Females
Foreign country,Germany,44.0,2000,Females
Foreign country,Germany,45.7,2001,Females
Foreign country,Germany,44.9,2002,Females
Foreign country,Germany,44.4,2003,Females
Foreign country,Germany,43.2,2004,Females
Foreign country,Germany,42.8,2005,Females
Foreign country,Germany,44.1,2006,Females
Foreign country,Germany,46.2,2007,Females
Foreign country,Germany,47.0,2008,Females
Foreign country,Germany,48.2,2009,Females
Foreign country,Germany,48.7,2010,Females
Foreign country,Germany,50.9,2011,Females
Foreign country,Germany,52.3,2012,Females
Foreign country,Germany,52.4,2013,Females
Foreign country,Germany,52.8,2014,Females
Foreign country,Germany,53.0,2015,Females
Foreign country,Germany,53.5,2016,Females
Foreign country,Germany,54.0,2017,Females
Foreign country,Germany,55.5,2018,Females
Foreign country,Germany,57.1,2019,Females
Foreign country,Germany,54.9,2020,Females
Foreign country,Germany,54.1,2021,Females
Foreign country,Germany,56.0,2022,Females
Foreign country,Germany,55.5,2023,Females
Foreign country,Germany,56.6,2024,Females
Foreign country,Germany,67.8,1995,Males
Foreign country,Germany,65.6,1996,Males
Foreign country,Germany,63.8,1997,Males
Foreign country,Germany,64.1,1998,Males
Foreign country,Germany,65.2,1999,Males
Foreign country,Germany,66.7,2000,Males
Foreign country,Germany,67.8,2001,Males
Foreign country,Germany,66.2,2002,Males
Foreign country,Germany,63.9,2003,Males
Foreign country,Germany,62.1,2004,Males
Foreign country,Germany,62.3,2005,Males
Foreign country,Germany,63.5,2006,Males
Foreign country,Germany,65.6,2007,Males
Foreign country,Germany,67.6,2008,Males
Foreign country,Germany,66.6,2009,Males
Foreign country,Germany,68.3,2010,Males
Foreign country,Germany,71.3,2011,Males
Foreign country,Germany,72.1,2012,Males
Foreign country,Germany,72.7,2013,Males
Foreign country,Germany,72.8,2014,Males
Foreign country,Germany,72.6,2015,Males
Foreign country,Germany,70.1,2016,Males
Foreign country,Germany,70.4,2017,Males
Foreign country,Germany,73.0,2018,Males
Foreign country,Germany,75.2,2019,Males
Foreign country,Germany,72.1,2020,Males
Foreign country,Germany,73.1,2021,Males
Foreign country,Germany,75.8,2022,Males
Foreign country,Germany,75.4,2023,Males
Foreign country,Germany,74.7,2024,Males
Foreign country,Germany,57.0,1995,Total
Foreign country,Germany,54.9,1996,Total
Foreign country,Germany,53.2,1997,Total
Foreign country,Germany,53.4,1998,Total
Foreign country,Germany,54.7,1999,Total
Foreign country,Germany,56.1,2000,Total
Foreign country,Germany,57.3,2001,Total
Foreign country,Germany,56.0,2002,Total
Foreign country,Germany,54.5,2003,Total
Foreign country,Germany,53.0,2004,Total
Foreign country,Germany,52.8,2005,Total
Foreign country,Germany,54.0,2006,Total
Foreign country,Germany,56.0,2007,Total
Foreign country,Germany,57.4,2008,Total
Foreign country,Germany,57.5,2009,Total
Foreign country,Germany,58.3,2010,Total
Foreign country,Germany,60.9,2011,Total
Foreign country,Germany,62.2,2012,Total
Foreign country,Germany,62.5,2013,Total
Foreign country,Germany,62.9,2014,Total
Foreign country,Germany,63.0,2015,Total
Foreign country,Germany,62.3,2016,Total
Foreign country,Germany,62.7,2017,Total
Foreign country,Germany,64.8,2018,Total
Foreign country,Germany,66.7,2019,Total
Foreign country,Germany,64.0,2020,Total
Foreign country,Germany,64.1,2021,Total
Foreign country,Germany,66.3,2022,Total
Foreign country,Germany,65.8,2023,Total
Foreign country,Germany,66.0,2024,Total
Reporting country,Germany,56.5,1995,Females
Reporting country,Germany,56.7,1996,Females
Reporting country,Germany,56.7,1997,Females
Reporting country,Germany,57.0,1998,Females
Reporting country,Germany,58.5,1999,Females
Reporting country,Germany,59.2,2000,Females
Reporting country,Germany,60.1,2001,Females
Reporting country,Germany,60.3,2002,Females
Reporting country,Germany,60.5,2003,Females
Reporting country,Germany,60.1,2004,Females
Reporting country,Germany,61.5,2005,Females
Reporting country,Germany,63.5,2006,Females
Reporting country,Germany,65.2,2007,Females
Reporting country,Germany,66.4,2008,Females
Reporting country,Germany,67.2,2009,Females
Reporting country,Germany,68.2,2010,Females
Reporting country,Germany,69.7,2011,Females
Reporting country,Germany,69.9,2012,Females
Reporting country,Germany,70.9,2013,Females
Reporting country,Germany,71.5,2014,Females
Reporting country,Germany,72.1,2015,Females
Reporting country,Germany,73.3,2016,Females
Reporting country,Germany,74.1,2017,Females
Reporting country,Germany,74.7,2018,Females
Reporting country,Germany,75.4,2019,Females
Reporting country,Germany,74.7,2020,Females
Reporting country,Germany,75.0,2021,Females
Reporting country,Germany,76.3,2022,Females
Reporting country,Germany,77.4,2023,Females
Reporting country,Germany,77.8,2024,Females
Reporting country,Germany,74.8,1995,Males
Reporting country,Germany,73.5,1996,Males
Reporting country,Germany,72.8,1997,Males
Reporting country,Germany,72.6,1998,Males
Reporting country,Germany,73.2,1999,Males
Reporting country,Germany,73.4,2000,Males
Reporting country,Germany,73.2,2001,Males
Reporting country,Germany,72.4,2002,Males
Reporting country,Germany,71.7,2003,Males
Reporting country,Germany,70.9,2004,Males
Reporting country,Germany,72.3,2005,Males
Reporting country,Germany,73.9,2006,Males
Reporting country,Germany,75.8,2007,Males
Reporting country,Germany,76.8,2008,Males
Reporting country,Germany,76.5,2009,Males
Reporting country,Germany,77.1,2010,Males
Reporting country,Germany,78.3,2011,Males
Reporting country,Germany,78.5,2012,Males
Reporting country,Germany,78.6,2013,Males
Reporting country,Germany,78.7,2014,Males
Reporting country,Germany,78.7,2015,Males
Reporting country,Germany,79.7,2016,Males
Reporting country,Germany,80.3,2017,Males
Reporting country,Germany,80.9,2018,Males
Reporting country,Germany,81.5,2019,Males
Reporting country,Germany,80.2,2020,Males
Reporting country,Germany,80.3,2021,Males
Reporting country,Germany,81.4,2022,Males
Reporting country,Germany,82.0,2023,Males
Reporting country,Germany,82.2,2024,Males
Reporting country,Germany,65.6,1995,Total
Reporting country,Germany,65.1,1996,Total
Reporting country,Germany,64.7,1997,Total
Reporting country,Germany,64.8,1998,Total
Reporting country,Germany,65.9,1999,Total
Reporting country,Germany,66.3,2000,Total
Reporting country,Germany,66.6,2001,Total
Reporting country,Germany,66.4,2002,Total
Reporting country,Germany,66.1,2003,Total
Reporting country,Germany,65.5,2004,Total
Reporting country,Germany,66.9,2005,Total
Reporting country,Germany,68.7,2006,Total
Reporting country,Germany,70.5,2007,Total
Reporting country,Germany,71.7,2008,Total
Reporting country,Germany,71.9,2009,Total
Reporting country,Germany,72.7,2010,Total
Reporting country,Germany,74.0,2011,Total
Reporting country,Germany,74.2,2012,Total
Reporting country,Germany,74.8,2013,Total
Reporting country,Germany,75.1,2014,Total
Reporting country,Germany,75.4,2015,Total
Reporting country,Germany,76.5,2016,Total
Reporting country,Germany,77.3,2017,Total
Reporting country,Germany,77.8,2018,Total
Reporting country,Germany,78.4,2019,Total
Reporting country,Germany,77.4,2020,Total
Reporting country,Germany,77.7,2021,Total
Reporting country,Germany,78.9,2022,Total
Reporting country,Germany,79.7,2023,Total
Reporting country,Germany,80.0,2024,Total
Total,Germany,55.3,1995,Females
Total,Germany,55.4,1996,Females
Total,Germany,55.2,1997,Females
Total,Germany,55.6,1998,Females
Total,Germany,57.1,1999,Females
Total,Germany,57.8,2000,Females
Total,Germany,58.7,2001,Females
Total,Germany,58.8,2002,Females
Total,Germany,58.9,2003,Females
Total,Germany,58.5,2004,Females
Total,Germany,59.6,2005,Females
Total,Germany,61.5,2006,Females
Total,Germany,63.2,2007,Females
Total,Germany,64.3,2008,Females
Total,Germany,65.2,2009,Females
Total,Germany,66.2,2010,Females
Total,Germany,67.8,2011,Females
Total,Germany,68.1,2012,Females
Total,Germany,69.0,2013,Females
Total,Germany,69.5,2014,Females
Total,Germany,69.9,2015,Females
Total,Germany,70.8,2016,Females
Total,Germany,71.5,2017,Females
Total,Germany,72.1,2018,Females
Total,Germany,72.8,2019,Females
Total,Germany,71.9,2020,Females
Total,Germany,71.9,2021,Females
Total,Germany,73.0,2022,Females
Total,Germany,73.6,2023,Females
Total,Germany,74.0,2024,Females
Total,Germany,73.9,1995,Males
Total,Germany,72.7,1996,Males
Total,Germany,71.8,1997,Males
Total,Germany,71.7,1998,Males
Total,Germany,72.4,1999,Males
Total,Germany,72.7,2000,Males
Total,Germany,72.6,2001,Males
Total,Germany,71.8,2002,Males
Total,Germany,70.9,2003,Males
Total,Germany,70.0,2004,Males
Total,Germany,71.3,2005,Males
Total,Germany,72.8,2006,Males
Total,Germany,74.7,2007,Males
Total,Germany,75.8,2008,Males
Total,Germany,75.4,2009,Males
Total,Germany,76.3,2010,Males
Total,Germany,77.6,2011,Males
Total,Germany,77.9,2012,Males
Total,Germany,78.0,2013,Males
Total,Germany,78.1,2014,Males
Total,Germany,78.0,2015,Males
Total,Germany,78.4,2016,Males
Total,Germany,78.9,2017,Males
Total,Germany,79.7,2018,Males
Total,Germany,80.5,2019,Males
Total,Germany,78.9,2020,Males
Total,Germany,79.1,2021,Males
