citizenship,geo,unemployment_rate,year,Sex
Total,Czechia,9.6,2001,Females
Total,Czechia,8.6,2002,Females
Total,Czechia,9.7,2003,Females
Total,Czechia,9.7,2004,Females
Total,Czechia,9.9,2005,Females
Total,Czechia,8.9,2006,Females
Total,Czechia,6.8,2007,Females
Total,Czechia,5.7,2008,Females
Total,Czechia,7.8,2009,Females
Total,Czechia,8.5,2010,Females
Total,Czechia,8.0,2011,Females
Total,Czechia,8.3,2012,Females
Total,Czechia,8.4,2013,Females
Total,Czechia,7.5,2014,Females
Total,Czechia,6.2,2015,Females
Total,Czechia,4.8,2016,Females
Total,Czechia,3.6,2017,Females
Total,Czechia,2.8,2018,Females
Total,Czechia,2.4,2019,Females
Total,Czechia,3.0,2020,Females
Total,Czechia,3.5,2021,Females
Total,Czechia,2.8,2022,Females
Total,Czechia,3.1,2023,Females
Total,Czechia,3.1,2024,Females
Total,Czechia,3.6,1997,Males
Total,Czechia,4.6,1998,Males
Total,Czechia,7.2,1999,Males
Total,Czechia,7.4,2000,Males
Total,Czechia,6.7,2001,Males
Total,Czechia,5.8,2002,Males
Total,Czechia,5.9,2003,Males
Total,Czechia,7.1,2004,Males
Total,Czechia,6.5,2005,Males
Total,Czechia,5.9,2006,Males
Total,Czechia,4.3,2007,Males
Total,Czechia,3.5,2008,Males
Total,Czechia,5.9,2009,Males
Total,Czechia,6.5,2010,Males
Total,Czechia,5.9,2011,Males
Total,Czechia,6.1,2012,Males
Total,Czechia,6.0,2013,Males
Total,Czechia,5.2,2014,Males
Total,Czechia,4.3,2015,Males
Total,Czechia,3.4,2016,Males
Total,Czechia,2.4,2017,Males
Total,Czechia,1.8,2018,Males
Total,Czechia,1.8,2019,Males
Total,Czechia,2.3,2020,Males
Total,Czechia,2.4,2021,Males
Total,Czechia,1.8,2022,Males
Total,Czechia,2.3,2023,Males
Total,Czechia,2.3,2024,Males
Total,Czechia,4.3,1997,Total
Total,Czechia,5.9,1998,Total
Total,Czechia,8.5,1999,Total
Total,Czechia,8.8,2000,Total
Total,Czechia,8.0,2001,Total
Total,Czechia,7.1,2002,Total
Total,Czechia,7.6,2003,Total
Total,Czechia,8.3,2004,Total
Total,Czechia,8.0,2005,Total
Total,Czechia,7.2,2006,Total
Total,Czechia,5.4,2007,Total
Total,Czechia,4.4,2008,Total
Total,Czechia,6.8,2009,Total
Total,Czechia,7.4,2010,Total
Total,Czechia,6.8,2011,Total
Total,Czechia,7.0,2012,Total
Total,Czechia,7.0,2013,Total
Total,Czechia,6.2,2014,Total
Total,Czechia,5.1,2015,Total
Total,Czechia,4.0,2016,Total
Total,Czechia,2.9,2017,Total
Total,Czechia,2.3,2018,Total
Total,Czechia,2.1,2019,Total
Total,Czechia,2.6,2020,Total
Total,Czechia,2.9,2021,Total
Total,Czechia,2.3,2022,Total
Total,Czechia,2.6,2023,Total
Total,Czechia,2.7,2024,Total
Foreign country,Denmark,21.9,1995,Females
Foreign country,Denmark,22.8,1996,Females
Foreign country,Denmark,17.5,1997,Females
Foreign country,Denmark,16.0,1998,Females
Foreign country,Denmark,12.8,1999,Females
Foreign country,Denmark,12.875,2000,Females
Foreign country,Denmark,12.95,2001,Females
Foreign country,Denmark,13.025,2002,Females
Foreign country,Denmark,13.1,2003,Females
Foreign country,Denmark,14.0,2004,Females
Foreign country,Denmark,10.6,2005,Females
Foreign country,Denmark,8.0,2006,Females
Foreign country,Denmark,8.8,2007,Females
Foreign country,Denmark,10.7,2008,Females
Foreign country,Denmark,12.6,2009,Females
Foreign country,Denmark,14.9,2010,Females
Foreign country,Denmark,18.6,2011,Females
Foreign country,Denmark,19.6,2012,Females
Foreign country,Denmark,15.8,2013,Females
Foreign country,Denmark,16.0,2014,Females
Foreign country,Denmark,16.4,2015,Females
Foreign country,Denmark,15.6,2016,Females
Foreign country,Denmark,12.6,2017,Females
Foreign country,Denmark,13.0,2018,Females
Foreign country,Denmark,10.2,2019,Females
Foreign country,Denmark,11.9,2020,Females
Foreign country,Denmark,10.1,2021,Females
Foreign country,Denmark,10.5,2022,Females
Foreign country,Denmark,10.8,2023,Females
Foreign country,Denmark,13.0,2024,Females
Foreign country,Denmark,16.0,1995,Males
Foreign country,Denmark,17.05,1996,Males
Foreign country,Denmark,18.1,1997,Males
Foreign country,Denmark,15.3,1998,Males
Foreign country,Denmark,12.5,1999,Males
Foreign country,Denmark,14.2,2000,Males
Foreign country,Denmark,10.4,2001,Males
Foreign country,Denmark,10.5,2002,Males
Foreign country,Denmark,17.0,2003,Males
Foreign country,Denmark,17.0,2004,Males
Foreign country,Denmark,11.2,2005,Males
Foreign country,Denmark,8.2,2006,Males
Foreign country,Denmark,9.0,2007,Males
Foreign country,Denmark,10.0,2008,Males
Foreign country,Denmark,13.6,2009,Males
Foreign country,Denmark,17.8,2010,Males
Foreign country,Denmark,16.9,2011,Males
Foreign country,Denmark,15.6,2012,Males
Foreign country,Denmark,12.9,2013,Males
Foreign country,Denmark,14.2,2014,Males
Foreign country,Denmark,12.5,2015,Males
Foreign country,Denmark,12.2,2016,Males
Foreign country,Denmark,12.0,2017,Males
Foreign country,Denmark,10.7,2018,Males
Foreign country,Denmark,8.3,2019,Males
Foreign country,Denmark,8.4,2020,Males
Foreign country,Denmark,8.0,2021,Males
Foreign country,Denmark,8.2,2022,Males
Foreign country,Denmark,9.2,2023,Males
Foreign country,Denmark,9.8,2024,Males
Foreign country,Denmark,18.2,1995,Total
Foreign country,Denmark,14.6,1996,Total
Foreign country,Denmark,17.9,1997,Total
Foreign country,Denmark,10.7,1998,Total
Foreign country,Denmark,12.6,1999,Total
Foreign country,Denmark,10.1,2000,Total
Foreign country,Denmark,10.3,2001,Total
Foreign country,Denmark,9.8,2002,Total
Foreign country,Denmark,15.2,2003,Total
Foreign country,Denmark,15.6,2004,Total
Foreign country,Denmark,10.9,2005,Total
Foreign country,Denmark,8.1,2006,Total
Foreign country,Denmark,8.9,2007,Total
Foreign country,Denmark,10.4,2008,Total
Foreign country,Denmark,13.1,2009,Total
Foreign country,Denmark,16.3,2010,Total
Foreign country,Denmark,17.8,2011,Total
Foreign country,Denmark,17.6,2012,Total
Foreign country,Denmark,14.4,2013,Total
Foreign country,Denmark,15.1,2014,Total
Foreign country,Denmark,14.3,2015,Total
Foreign country,Denmark,13.9,2016,Total
Foreign country,Denmark,12.3,2017,Total
Foreign country,Denmark,11.8,2018,Total
Foreign country,Denmark,9.1,2019,Total
Foreign country,Denmark,9.9,2020,Total
Foreign country,Denmark,8.9,2021,Total
Foreign country,Denmark,9.2,2022,Total
Foreign country,Denmark,9.9,2023,Total
Foreign country,Denmark,11.3,2024,Total
Reporting country,Denmark,8.4,1995,Females
Reporting country,Denmark,8.1,1996,Females
Reporting country,Denmark,6.2,1997,Females
Reporting country,Denmark,6.1,1998,Females
Reporting country,Denmark,5.7,1999,Females
Reporting country,Denmark,5.0,2000,Females
Reporting country,Denmark,4.7,2001,Females
Reporting country,Denmark,4.2,2002,Females
Reporting country,Denmark,5.5,2003,Females
Reporting country,Denmark,5.2,2004,Females
Reporting country,Denmark,5.1,2005,Females
Reporting country,Denmark,4.4,2006,Females
Reporting country,Denmark,4.0,2007,Females
Reporting country,Denmark,3.8,2008,Females
Reporting country,Denmark,5.4,2009,Females
Reporting country,Denmark,6.5,2010,Females
Reporting country,Denmark,7.2,2011,Females
Reporting country,Denmark,7.2,2012,Females
Reporting country,Denmark,7.3,2013,Females
Reporting country,Denmark,6.6,2014,Females
Reporting country,Denmark,5.9,2015,Females
Reporting country,Denmark,5.8,2016,Females
Reporting country,Denmark,5.7,2017,Females
Reporting country,Denmark,4.8,2018,Females
Reporting country,Denmark,5.0,2019,Females
Reporting country,Denmark,5.6,2020,Females
Reporting country,Denmark,4.8,2021,Females
Reporting country,Denmark,4.0,2022,Females
Reporting country,Denmark,5.0,2023,Females
Reporting country,Denmark,6.0,2024,Females
Reporting country,Denmark,5.4,1995,Males
Reporting country,Denmark,5.4,1996,Males
Reporting country,Denmark,4.1,1997,Males
Reporting country,Denmark,3.8,1998,Males
Reporting country,Denmark,4.3,1999,Males
Reporting country,Denmark,3.7,2000,Males
Reporting country,Denmark,3.5,2001,Males
Reporting country,Denmark,4.1,2002,Males
Reporting country,Denmark,4.8,2003,Males
Reporting country,Denmark,4.7,2004,Males
Reporting country,Denmark,4.3,2005,Males
Reporting country,Denmark,3.2,2006,Males
Reporting country,Denmark,3.2,2007,Males
Reporting country,Denmark,3.2,2008,Males
Reporting country,Denmark,7.0,2009,Males
Reporting country,Denmark,8.5,2010,Males
Reporting country,Denmark,7.7,2011,Males
Reporting country,Denmark,7.7,2012,Males
Reporting country,Denmark,7.0,2013,Males
Reporting country,Denmark,6.4,2014,Males
Reporting country,Denmark,5.7,2015,Males
Reporting country,Denmark,5.4,2016,Males
Reporting country,Denmark,5.3,2017,Males
Reporting country,Denmark,4.6,2018,Males
Reporting country,Denmark,4.7,2019,Males
Reporting country,Denmark,5.2,2020,Males
Reporting country,Denmark,4.8,2021,Males
Reporting country,Denmark,4.2,2022,Males
Reporting country,Denmark,4.7,2023,Males
Reporting country,Denmark,5.7,2024,Males
Reporting country,Denmark,6.8,1995,Total
Reporting country,Denmark,6.7,1996,Total
Reporting country,Denmark,5.1,1997,Total
Reporting country,Denmark,4.9,1998,Total
Reporting country,Denmark,5.0,1999,Total
Reporting country,Denmark,4.3,2000,Total
Reporting country,Denmark,4.0,2001,Total
Reporting country,Denmark,4.1,2002,Total
Reporting country,Denmark,5.1,2003,Total
Reporting country,Denmark,4.9,2004,Total
Reporting country,Denmark,4.7,2005,Total
Reporting country,Denmark,3.8,2006,Total
Reporting country,Denmark,3.5,2007,Total
Reporting country,Denmark,3.5,2008,Total
Reporting country,Denmark,6.3,2009,Total
Reporting country,Denmark,7.5,2010,Total
Reporting country,Denmark,7.5,2011,Total
Reporting country,Denmark,7.5,2012,Total
Reporting country,Denmark,7.1,2013,Total
Reporting country,Denmark,6.5,2014,Total
Reporting country,Denmark,5.8,2015,Total
Reporting country,Denmark,5.6,2016,Total
Reporting country,Denmark,5.5,2017,Total
Reporting country,Denmark,4.7,2018,Total
Reporting country,Denmark,4.8,2019,Total
Reporting country,Denmark,5.4,2020,Total
Reporting country,Denmark,4.8,2021,Total
Reporting country,Denmark,4.1,2022,Total
Reporting country,Denmark,4.8,2023,Total
Reporting country,Denmark,5.8,2024,Total
Total,Denmark,8.6,1995,Females
Total,Denmark,8.4,1996,Females
Total,Denmark,6.5,1997,Females
Total,Denmark,6.4,1998,Females
Total,Denmark,5.9,1999,Females
Total,Denmark,5.0,2000,Females
Total,Denmark,4.8,2001,Females
Total,Denmark,4.4,2002,Females
Total,Denmark,5.8,2003,Females
Total,Denmark,5.5,2004,Females
Total,Denmark,5.3,2005,Females
Total,Denmark,4.6,2006,Females
Total,Denmark,4.2,2007,Females
Total,Denmark,4.1,2008,Females
Total,Denmark,5.7,2009,Females
Total,Denmark,6.9,2010,Females
Total,Denmark,7.7,2011,Females
Total,Denmark,7.9,2012,Females
Total,Denmark,7.8,2013,Females
Total,Denmark,7.3,2014,Females
Total,Denmark,6.6,2015,Females
Total,Denmark,6.5,2016,Females
Total,Denmark,6.2,2017,Females
Total,Denmark,5.4,2018,Females
Total,Denmark,5.4,2019,Females
Total,Denmark,6.1,2020,Females
Total,Denmark,5.2,2021,Females
Total,Denmark,4.5,2022,Females
Total,Denmark,5.4,2023,Females
Total,Denmark,6.6,2024,Females
Total,Denmark,5.7,1995,Males
Total,Denmark,5.6,1996,Males
Total,Denmark,4.6,1997,Males
Total,Denmark,3.9,1998,Males
Total,Denmark,4.5,1999,Males
Total,Denmark,4.0,2000,Males
Total,Denmark,3.7,2001,Males
Total,Denmark,4.3,2002,Males
Total,Denmark,5.2,2003,Males
Total,Denmark,5.1,2004,Males
Total,Denmark,4.5,2005,Males
Total,Denmark,3.4,2006,Males
Total,Denmark,3.5,2007,Males
Total,Denmark,3.4,2008,Males
Total,Denmark,7.3,2009,Males
Total,Denmark,8.8,2010,Males
Total,Denmark,8.1,2011,Males
Total,Denmark,8.1,2012,Males
Total,Denmark,7.4,2013,Males
Total,Denmark,7.0,2014,Males
Total,Denmark,6.3,2015,Males
Total,Denmark,5.8,2016,Males
Total,Denmark,5.8,2017,Males
Total,Denmark,5.1,2018,Males
Total,Denmark,4.9,2019,Males
Total,Denmark,5.5,2020,Males
Total,Denmark,5.1,2021,Males
Total,Denmark,4.5,2022,Males
Total,Denmark,5.1,2023,Males
Total,Denmark,6.1,2024,Males
Total,Denmark,7.0,1995,Total
Total,Denmark,6.9,1996,Total
Total,Denmark,5.4,1997,Total
Total,Denmark,5.1,1998,Total
Total,Denmark,5.2,1999,Total
Total,Denmark,4.5,2000,Total
Total,Denmark,4.2,2001,Total
Total,Denmark,4.3,2002,Total
Total,Denmark,5.5,2003,Total
Total,Denmark,5.3,2004,Total
Total,Denmark,4.9,2005,Total
Total,Denmark,4.0,2006,Total
Total,Denmark,3.8,2007,Total
Total,Denmark,3.7,2008,Total
Total,Denmark,6.5,2009,Total
Total,Denmark,7.9,2010,Total
Total,Denmark,7.9,2011,Total
Total,Denmark,8.0,2012,Total
Total,Denmark,7.6,2013,Total
Total,Denmark,7.1,2014,Total
Total,Denmark,6.5,2015,Total
Total,Denmark,6.2,2016,Total
Total,Denmark,6.0,2017,Total
Total,Denmark,5.3,2018,Total
Total,Denmark,5.1,2019,Total
Total,Denmark,5.8,2020,Total
Total,Denmark,5.2,2021,Total
Total,Denmark,4.5,2022,Total
Total,Denmark,5.2,2023,Total
Total,Denmark,6.3,2024,Total
Foreign country,Estonia,12.2,1998,Females
Foreign country,Estonia,15.6,1999,Females
Foreign country,Estonia,17.3,2000,Females
Foreign country,Estonia,24.0,2001,Females
Foreign country,Estonia,25.666666666666668,2002,Females
Foreign country,Estonia,27.333333333333332,2003,Females
Foreign country,Estonia,29.0,2004,Females
Foreign country,Estonia,15.3,2005,Females
Foreign country,Estonia,10.9,2006,Females
Foreign country,Estonia,7.2,2007,Females
Foreign country,Estonia,10.8,2008,Females
Foreign country,Estonia,17.7,2009,Females
Foreign country,Estonia,27.9,2010,Females
Foreign country,Estonia,20.7,2011,Females
Foreign country,Estonia,19.4,2012,Females
Foreign country,Estonia,15.1,2013,Females
Foreign country,Estonia,13.6,2014,Females
Foreign country,Estonia,11.2,2015,Females
Foreign country,Estonia,12.5,2016,Females
Foreign country,Estonia,9.9,2017,Females
Foreign country,Estonia,11.7,2018,Females
Foreign country,Estonia,10.0,2019,Females
Foreign country,Estonia,10.5,2020,Females
Foreign country,Estonia,12.2,2021,Females
Foreign country,Estonia,8.8,2022,Females
Foreign country,Estonia,13.5,2023,Females
Foreign country,Estonia,15.3,2024,Females
Foreign country,Estonia,15.6,1998,Males
Foreign country,Estonia,16.9,1999,Males
Foreign country,Estonia,16.1,2000,Males
Foreign country,Estonia,23.1,2001,Males
Foreign country,Estonia,21.400000000000002,2002,Males
Foreign country,Estonia,19.700000000000003,2003,Males
Foreign country,Estonia,18.0,2004,Males
Foreign country,Estonia,16.3,2005,Males
Foreign country,Estonia,14.4,2006,Males
Foreign country,Estonia,10.3,2007,Males
Foreign country,Estonia,9.7,2008,Males
Foreign country,Estonia,26.0,2009,Males
Foreign country,Estonia,31.1,2010,Males
Foreign country,Estonia,22.5,2011,Males
Foreign country,Estonia,17.5,2012,Males
Foreign country,Estonia,14.1,2013,Males
Foreign country,Estonia,12.3,2014,Males
Foreign country,Estonia,8.7,2015,Males
Foreign country,Estonia,12.1,2016,Males
Foreign country,Estonia,10.3,2017,Males
Foreign country,Estonia,8.6,2018,Males
Foreign country,Estonia,5.9,2019,Males
Foreign country,Estonia,10.2,2020,Males
Foreign country,Estonia,10.5,2021,Males
Foreign country,Estonia,9.2,2022,Males
Foreign country,Estonia,7.5,2023,Males
Foreign country,Estonia,9.8,2024,Males
Foreign country,Estonia,13.9,1998,Total
Foreign country,Estonia,16.3,1999,Total
Foreign country,Estonia,16.7,2000,Total
Foreign country,Estonia,23.5,2001,Total
Foreign country,Estonia,17.9,2002,Total
Foreign country,Estonia,17.6,2003,Total
Foreign country,Estonia,21.8,2004,Total
Foreign country,Estonia,15.9,2005,Total
Foreign country,Estonia,13.1,2006,Total
Foreign country,Estonia,8.9,2007,Total
Foreign country,Estonia,10.1,2008,Total
Foreign country,Estonia,22.6,2009,Total
Foreign country,Estonia,29.7,2010,Total
Foreign country,Estonia,21.8,2011,Total
Foreign country,Estonia,18.3,2012,Total
Foreign country,Estonia,14.5,2013,Total
Foreign country,Estonia,12.8,2014,Total
Foreign country,Estonia,9.7,2015,Total
Foreign country,Estonia,12.2,2016,Total
Foreign country,Estonia,10.1,2017,Total
Foreign country,Estonia,9.7,2018,Total
Foreign country,Estonia,7.6,2019,Total
Foreign country,Estonia,10.3,2020,Total
Foreign country,Estonia,11.2,2021,Total
Foreign country,Estonia,9.0,2022,Total
Foreign country,Estonia,10.2,2023,Total
Foreign country,Estonia,12.2,2024,Total
Reporting country,Estonia,6.7,1998,Females
Reporting country,Estonia,7.5,1999,Females
Reporting country,Estonia,8.9,2000,Females
Reporting country,Estonia,11.0,2001,Females
Reporting country,Estonia,6.9,2002,Females
Reporting country,Estonia,8.4,2003,Females
Reporting country,Estonia,6.8,2004,Females
Reporting country,Estonia,5.3,2005,Females
Reporting country,Estonia,4.5,2006,Females
Reporting country,Estonia,3.0,2007,Females
Reporting country,Estonia,4.2,2008,Females
Reporting country,Estonia,9.1,2009,Females
Reporting country,Estonia,11.9,2010,Females
Reporting country,Estonia,10.5,2011,Females
Reporting country,Estonia,7.7,2012,Females
Reporting country,Estonia,7.4,2013,Females
Reporting country,Estonia,6.1,2014,Females
Reporting country,Estonia,5.8,2015,Females
Reporting country,Estonia,5.6,2016,Females
Reporting country,Estonia,4.8,2017,Females
Reporting country,Estonia,4.6,2018,Females
Reporting country,Estonia,4.4,2019,Females
Reporting country,Estonia,6.6,2020,Females
Reporting country,Estonia,4.9,2021,Females
Reporting country,Estonia,5.0,2022,Females
Reporting country,Estonia,5.9,2023,Females
Reporting country,Estonia,6.6,2024,Females
Reporting country,Estonia,8.2,1998,Males
Reporting country,Estonia,11.0,1999,Males
Reporting country,Estonia,14.9,2000,Males
Reporting country,Estonia,11.7,2001,Males
Reporting country,Estonia,9.7,2002,Males
Reporting country,Estonia,11.1,2003,Males
Reporting country,Estonia,10.1,2004,Males
Reporting country,Estonia,7.8,2005,Males
Reporting country,Estonia,5.4,2006,Males
Reporting country,Estonia,5.0,2007,Males
Reporting country,Estonia,4.9,2008,Males
Reporting country,Estonia,14.8,2009,Males
Reporting country,Estonia,16.9,2010,Males
Reporting country,Estonia,11.2,2011,Males
Reporting country,Estonia,9.6,2012,Males
Reporting country,Estonia,8.2,2013,Males
Reporting country,Estonia,7.1,2014,Males
Reporting country,Estonia,6.2,2015,Males
Reporting country,Estonia,6.8,2016,Males
Reporting country,Estonia,5.7,2017,Males
Reporting country,Estonia,4.9,2018,Males
Reporting country,Estonia,3.8,2019,Males
Reporting country,Estonia,6.6,2020,Males
Reporting country,Estonia,6.4,2021,Males
Reporting country,Estonia,5.7,2022,Males
Reporting country,Estonia,6.0,2023,Males
Reporting country,Estonia,7.4,2024,Males
Reporting country,Estonia,7.5,1998,Total
Reporting country,Estonia,9.3,1999,Total
Reporting country,Estonia,12.0,2000,Total
Reporting country,Estonia,11.4,2001,Total
Reporting country,Estonia,8.3,2002,Total
Reporting country,Estonia,9.8,2003,Total
Reporting country,Estonia,8.4,2004,Total
Reporting country,Estonia,6.6,2005,Total
Reporting country,Estonia,4.9,2006,Total
Reporting country,Estonia,4.0,2007,Total
Reporting country,Estonia,4.6,2008,Total
Reporting country,Estonia,11.9,2009,Total
Reporting country,Estonia,14.4,2010,Total
Reporting country,Estonia,10.8,2011,Total
Reporting country,Estonia,8.7,2012,Total
Reporting country,Estonia,7.8,2013,Total
Reporting country,Estonia,6.6,2014,Total
Reporting country,Estonia,6.0,2015,Total
Reporting country,Estonia,6.2,2016,Total
Reporting country,Estonia,5.3,2017,Total
Reporting country,Estonia,4.7,2018,Total
Reporting country,Estonia,4.1,2019,Total
Reporting country,Estonia,6.6,2020,Total
Reporting country,Estonia,5.7,2021,Total
Reporting country,Estonia,5.4,2022,Total
Reporting country,Estonia,6.0,2023,Total
Reporting country,Estonia,7.0,2024,Total
Total,Estonia,9.6,1997,Females
Total,Estonia,8.6,1998,Females
Total,Estonia,10.4,1999,Females
Total,Estonia,11.8,2000,Females
Total,Estonia,13.2,2001,Females
Total,Estonia,9.0,2002,Females
Total,Estonia,10.7,2003,Females
Total,Estonia,9.1,2004,Females
Total,Estonia,7.1,2005,Females
Total,Estonia,5.8,2006,Females
Total,Estonia,3.9,2007,Females
Total,Estonia,5.2,2008,Females
Total,Estonia,10.4,2009,Females
Total,Estonia,14.5,2010,Females
Total,Estonia,11.9,2011,Females
Total,Estonia,9.3,2012,Females
Total,Estonia,8.5,2013,Females
Total,Estonia,7.0,2014,Females
Total,Estonia,6.4,2015,Females
Total,Estonia,6.4,2016,Females
Total,Estonia,5.4,2017,Females
Total,Estonia,5.4,2018,Females
Total,Estonia,5.1,2019,Females
Total,Estonia,7.1,2020,Females
Total,Estonia,5.8,2021,Females
Total,Estonia,5.4,2022,Females
Total,Estonia,7.0,2023,Females
Total,Estonia,7.9,2024,Females
Total,Estonia,11.3,1997,Males
Total,Estonia,10.7,1998,Males
Total,Estonia,13.0,1999,Males
Total,Estonia,15.3,2000,Males
Total,Estonia,13.1,2001,Males
Total,Estonia,11.4,2002,Males
Total,Estonia,12.4,2003,Males
Total,Estonia,12.0,2004,Males
Total,Estonia,9.4,2005,Males
Total,Estonia,6.4,2006,Males
Total,Estonia,5.5,2007,Males
Total,Estonia,5.9,2008,Males
Total,Estonia,17.2,2009,Males
Total,Estonia,19.7,2010,Males
Total,Estonia,13.3,2011,Males
Total,Estonia,11.1,2012,Males
Total,Estonia,9.2,2013,Males
Total,Estonia,8.0,2014,Males
Total,Estonia,6.6,2015,Males
Total,Estonia,7.7,2016,Males
Total,Estonia,6.5,2017,Males
Total,Estonia,5.6,2018,Males
Total,Estonia,4.2,2019,Males
Total,Estonia,7.2,2020,Males
Total,Estonia,7.1,2021,Males
Total,Estonia,6.3,2022,Males
Total,Estonia,6.3,2023,Males
Total,Estonia,7.9,2024,Males
Total,Estonia,10.5,1997,Total
Total,Estonia,9.7,1998,Total
Total,Estonia,11.7,1999,Total
Total,Estonia,13.6,2000,Total
Total,Estonia,13.2,2001,Total
Total,Estonia,10.2,2002,Total
Total,Estonia,11.6,2003,Total
Total,Estonia,10.6,2004,Total
Total,Estonia,8.2,2005,Total
Total,Estonia,6.1,2006,Total
Total,Estonia,4.7,2007,Total
Total,Estonia,5.6,2008,Total
Total,Estonia,13.9,2009,Total
Total,Estonia,17.1,2010,Total
Total,Estonia,12.6,2011,Total
Total,Estonia,10.2,2012,Total
Total,Estonia,8.9,2013,Total
Total,Estonia,7.5,2014,Total
Total,Estonia,6.5,2015,Total
Total,Estonia,7.1,2016,Total
Total,Estonia,6.0,2017,Total
Total,Estonia,5.5,2018,Total
Total,Estonia,4.6,2019,Total
Total,Estonia,7.2,2020,Total
Total,Estonia,6.5,2021,Total
Total,Estonia,5.9,2022,Total
Total,Estonia,6.6,2023,Total
Total,Estonia,7.9,2024,Total
Foreign country,Finland,30.4,1995,Females
Foreign country,Finland,22.7,1996,Females
Foreign country,Finland,30.6,1997,Females
Foreign country,Finland,43.7,1998,Females
Foreign country,Finland,26.5,1999,Females
Foreign country,Finland,29.8,2000,Females
Foreign country,Finland,29.3,2001,Females
Foreign country,Finland,18.4,2002,Females
Foreign country,Finland,17.7,2003,Females
Foreign country,Finland,31.9,2004,Females
Foreign country,Finland,23.0,2005,Females
Foreign country,Finland,23.3,2006,Females
Foreign country,Finland,18.3,2007,Females
Foreign country,Finland,17.8,2008,Females
Foreign country,Finland,17.8,2009,Females
Foreign country,Finland,18.7,2010,Females
Foreign country,Finland,16.8,2011,Females
Foreign country,Finland,15.4,2012,Females
Foreign country,Finland,17.0,2013,Females
Foreign country,Finland,19.2,2014,Females
Foreign country,Finland,19.9,2015,Females
Foreign country,Finland,22.2,2016,Females
Foreign country,Finland,18.7,2017,Females
Foreign country,Finland,20.6,2018,Females
Foreign country,Finland,13.9,2019,Females
Foreign country,Finland,15.8,2020,Females
Foreign country,Finland,18.0,2021,Females
Foreign country,Finland,12.2,2022,Females
Foreign country,Finland,17.7,2023,Females
Foreign country,Finland,22.0,2024,Females
Foreign country,Finland,27.1,1995,Males
Foreign country,Finland,27.1,1996,Males
Foreign country,Finland,32.8,1997,Males
Foreign country,Finland,34.5,1998,Males
Foreign country,Finland,25.7,1999,Males
Foreign country,Finland,29.1,2000,Males
Foreign country,Finland,19.6,2001,Males
Foreign country,Finland,16.5,2002,Males
Foreign country,Finland,18.8,2003,Males
Foreign country,Finland,21.0,2004,Males
Foreign country,Finland,18.3,2005,Males
Foreign country,Finland,14.4,2006,Males
Foreign country,Finland,15.1,2007,Males
Foreign country,Finland,13.9,2008,Males
Foreign country,Finland,18.2,2009,Males
Foreign country,Finland,20.3,2010,Males
Foreign country,Finland,16.9,2011,Males
Foreign country,Finland,16.8,2012,Males
Foreign country,Finland,16.2,2013,Males
Foreign country,Finland,16.5,2014,Males
Foreign country,Finland,15.7,2015,Males
Foreign country,Finland,14.0,2016,Males
Foreign country,Finland,12.9,2017,Males
Foreign country,Finland,12.9,2018,Males
Foreign country,Finland,11.7,2019,Males
Foreign country,Finland,13.1,2020,Males
Foreign country,Finland,13.0,2021,Males
Foreign country,Finland,12.0,2022,Males
Foreign country,Finland,14.0,2023,Males
Foreign country,Finland,15.9,2024,Males
Foreign country,Finland,27.2,1995,Total
Foreign country,Finland,24.8,1996,Total
Foreign country,Finland,32.0,1997,Total
Foreign country,Finland,38.6,1998,Total
Foreign country,Finland,26.0,1999,Total
Foreign country,Finland,29.4,2000,Total
Foreign country,Finland,23.4,2001,Total
Foreign country,Finland,17.3,2002,Total
Foreign country,Finland,18.3,2003,Total
Foreign country,Finland,25.6,2004,Total
Foreign country,Finland,20.3,2005,Total
Foreign country,Finland,18.5,2006,Total
Foreign country,Finland,16.5,2007,Total
Foreign country,Finland,15.6,2008,Total
Foreign country,Finland,18.0,2009,Total
Foreign country,Finland,19.6,2010,Total
Foreign country,Finland,16.8,2011,Total
Foreign country,Finland,16.2,2012,Total
Foreign country,Finland,16.6,2013,Total
Foreign country,Finland,17.6,2014,Total
Foreign country,Finland,17.5,2015,Total
Foreign country,Finland,17.6,2016,Total
Foreign country,Finland,15.3,2017,Total
Foreign country,Finland,16.2,2018,Total
Foreign country,Finland,12.6,2019,Total
Foreign country,Finland,14.2,2020,Total
Foreign country,Finland,15.0,2021,Total
Foreign country,Finland,12.1,2022,Total
Foreign country,Finland,15.6,2023,Total
Foreign country,Finland,18.5,2024,Total
Reporting country,Finland,16.2,1995,Females
Reporting country,Finland,15.6,1996,Females
Reporting country,Finland,15.1,1997,Females
Reporting country,Finland,13.3,1998,Females
Reporting country,Finland,12.3,1999,Females
Reporting country,Finland,11.8,2000,Females
Reporting country,Finland,10.6,2001,Females
Reporting country,Finland,10.1,2002,Females
Reporting country,Finland,9.9,2003,Females
Reporting country,Finland,10.3,2004,Females
Reporting country,Finland,8.5,2005,Females
Reporting country,Finland,7.9,2006,Females
Reporting country,Finland,7.1,2007,Females
Reporting country,Finland,6.5,2008,Females
Reporting country,Finland,7.4,2009,Females
Reporting country,Finland,7.5,2010,Females
Reporting country,Finland,7.0,2011,Females
Reporting country,Finland,7.0,2012,Females
Reporting country,Finland,7.4,2013,Females
Reporting country,Finland,7.7,2014,Females
