iccs,geo,TIME_PERIOD,OBS_VALUE
Serious assault,Bosnia and Herzegovina,2010,13.14
Serious assault,Bosnia and Herzegovina,2011,16.97
Serious assault,Bosnia and Herzegovina,2012,16.1
Serious assault,Belgium,2008,715.43
Serious assault,Belgium,2009,722.26
Serious assault,Belgium,2010,717.33
Serious assault,Belgium,2011,716.12
Serious assault,Belgium,2012,651.76
Serious assault,Belgium,2013,624.87
Serious assault,Belgium,2014,629.75
Serious assault,Belgium,2015,555.13
Serious assault,Belgium,2016,556.84
Serious assault,Belgium,2017,552.89
Serious assault,Belgium,2018,565.92
Serious assault,Belgium,2019,569.66
Serious assault,Belgium,2020,486.94
Serious assault,Belgium,2021,516.5
Serious assault,Belgium,2022,560.21
Serious assault,Bulgaria,2008,42.78
Serious assault,Bulgaria,2009,41.81
Serious assault,Bulgaria,2010,40.93
Serious assault,Bulgaria,2011,33.41
Serious assault,Bulgaria,2012,32.89
Serious assault,Bulgaria,2013,33.91
Serious assault,Bulgaria,2014,34.96
Serious assault,Bulgaria,2015,34.99
Serious assault,Bulgaria,2016,34.53
Serious assault,Bulgaria,2017,39.58
Serious assault,Bulgaria,2018,35.72
Serious assault,Bulgaria,2019,39.54
Serious assault,Bulgaria,2020,38.22
Serious assault,Bulgaria,2021,39.88
Serious assault,Bulgaria,2022,45.78
Serious assault,Switzerland,2008,117.11
Serious assault,Switzerland,2009,6.8
Serious assault,Switzerland,2010,6.25
Serious assault,Switzerland,2011,6.18
Serious assault,Switzerland,2012,7.5
Serious assault,Switzerland,2013,7.07
Serious assault,Switzerland,2014,7.48
Serious assault,Switzerland,2015,7.48
Serious assault,Switzerland,2016,6.88
Serious assault,Switzerland,2017,6.96
Serious assault,Switzerland,2018,6.9
Serious assault,Switzerland,2019,7.46
Serious assault,Switzerland,2020,7.79
Serious assault,Switzerland,2021,7.52
Serious assault,Switzerland,2022,8.73
Serious assault,Cyprus,2008,21.51
Serious assault,Cyprus,2009,27.48
Serious assault,Cyprus,2010,21.12
Serious assault,Cyprus,2011,19.53
Serious assault,Cyprus,2012,17.17
Serious assault,Cyprus,2013,15.24
Serious assault,Cyprus,2014,15.62
Serious assault,Cyprus,2015,16.88
Serious assault,Cyprus,2016,17.09
Serious assault,Cyprus,2017,16.85
Serious assault,Cyprus,2018,15.27
Serious assault,Cyprus,2019,20.09
Serious assault,Cyprus,2020,15.32
Serious assault,Cyprus,2021,19.98
Serious assault,Cyprus,2022,19.56
Serious assault,Czechia,2008,52.18
Serious assault,Czechia,2009,45.62
Serious assault,Czechia,2010,45.75
Serious assault,Czechia,2011,50.2
Serious assault,Czechia,2012,49.88
Serious assault,Czechia,2013,51.14
Serious assault,Czechia,2014,49.46
Serious assault,Czechia,2015,49.62
Serious assault,Czechia,2016,47.85
Serious assault,Czechia,2017,45.06
Serious assault,Czechia,2018,46.81
Serious assault,Czechia,2019,43.98
Serious assault,Czechia,2020,36.39
Serious assault,Czechia,2021,34.58
Serious assault,Czechia,2022,39.66
Serious assault,Germany,2008,630.64
Serious assault,Germany,2009,182.07
Serious assault,Germany,2010,174.69
Serious assault,Germany,2011,173.38
Serious assault,Germany,2012,169.4
Serious assault,Germany,2013,158.8
Serious assault,Germany,2014,155.7
Serious assault,Germany,2015,156.9
Serious assault,Germany,2016,170.41
Serious assault,Germany,2017,166.09
Serious assault,Germany,2018,165.14
Serious assault,Germany,2019,160.31
Serious assault,Germany,2020,156.86
Serious assault,Germany,2021,147.12
Serious assault,Germany,2022,173.8
Serious assault,Denmark,2008,30.37
Serious assault,Denmark,2009,29.08
Serious assault,Denmark,2010,31.67
Serious assault,Denmark,2011,30.5
Serious assault,Denmark,2012,29.69
Serious assault,Denmark,2013,26.83
Serious assault,Denmark,2014,27.24
Serious assault,Denmark,2015,25.8
Serious assault,Denmark,2016,30.36
Serious assault,Denmark,2017,33.12
Serious assault,Denmark,2018,32.12
Serious assault,Denmark,2019,33.9
Serious assault,Denmark,2020,32.13
Serious assault,Denmark,2021,32.26
Serious assault,Denmark,2022,36.74
Serious assault,Estonia,2008,10.46
Serious assault,Estonia,2009,7.94
Serious assault,Estonia,2010,7.73
Serious assault,Estonia,2011,7.82
Serious assault,Estonia,2012,7.47
Serious assault,Estonia,2013,7.5
Serious assault,Estonia,2014,5.85
Serious assault,Estonia,2015,7.45
Serious assault,Estonia,2016,7.07
Serious assault,Estonia,2017,5.78
Serious assault,Estonia,2018,6.82
Serious assault,Estonia,2019,5.89
Serious assault,Estonia,2020,5.79
Serious assault,Estonia,2021,5.56
Serious assault,Estonia,2022,4.36
Serious assault,Greece,2008,3.89
Serious assault,Greece,2009,4.3
Serious assault,Greece,2010,9.9
Serious assault,Greece,2011,12.81
Serious assault,Greece,2012,15.26
Serious assault,Greece,2013,14.63
Serious assault,Greece,2014,13.35
Serious assault,Greece,2015,14.96
Serious assault,Greece,2016,14.05
Serious assault,Greece,2017,14.02
Serious assault,Greece,2018,14.77
Serious assault,Greece,2019,14.97
Serious assault,Greece,2020,11.99
Serious assault,Greece,2021,11.11
Serious assault,Greece,2022,12.74
Serious assault,Spain,2008,159.41
Serious assault,Spain,2009,174.98
Serious assault,Spain,2010,53.94
Serious assault,Spain,2011,39.19
Serious assault,Spain,2012,37.06
Serious assault,Spain,2013,35.74
Serious assault,Spain,2014,36.07
Serious assault,Spain,2015,62.55
Serious assault,Spain,2016,37.32
Serious assault,Spain,2017,38.87
Serious assault,Spain,2018,39.2
Serious assault,Spain,2019,42.73
Serious assault,Spain,2020,33.81
Serious assault,Spain,2021,42.73
Serious assault,Spain,2022,55.75
Serious assault,Finland,2008,42.03
Serious assault,Finland,2009,39.11
Serious assault,Finland,2010,36.89
Serious assault,Finland,2011,37.86
Serious assault,Finland,2012,34.36
Serious assault,Finland,2013,33.0
Serious assault,Finland,2014,30.18
Serious assault,Finland,2015,28.56
Serious assault,Finland,2016,29.01
Serious assault,Finland,2017,28.73
Serious assault,Finland,2018,29.18
Serious assault,Finland,2019,28.71
Serious assault,Finland,2020,31.74
Serious assault,Finland,2021,30.05
Serious assault,Finland,2022,31.11
Serious assault,France,2008,293.62
Serious assault,France,2009,342.07
Serious assault,France,2010,358.67
Serious assault,France,2011,355.97
Serious assault,France,2012,355.0
Serious assault,France,2013,355.64
Serious assault,France,2014,360.8
Serious assault,France,2015,364.25
Serious assault,France,2016,400.54
Serious assault,France,2017,417.32
Serious assault,France,2018,450.77
Serious assault,France,2019,480.41
Serious assault,France,2020,471.11
Serious assault,France,2021,523.08
Serious assault,France,2022,577.31
Serious assault,Croatia,2008,26.16
Serious assault,Croatia,2009,24.57
Serious assault,Croatia,2010,22.92
Serious assault,Croatia,2011,20.35
Serious assault,Croatia,2012,21.12
Serious assault,Croatia,2013,19.31
Serious assault,Croatia,2014,18.04
Serious assault,Croatia,2015,19.03
Serious assault,Croatia,2016,18.85
Serious assault,Croatia,2017,19.21
Serious assault,Croatia,2018,17.85
Serious assault,Croatia,2019,18.06
Serious assault,Croatia,2020,18.31
Serious assault,Croatia,2021,18.01
Serious assault,Croatia,2022,20.14
Serious assault,Hungary,2008,126.99
Serious assault,Hungary,2009,127.48
Serious assault,Hungary,2010,145.48
Serious assault,Hungary,2011,142.32
Serious assault,Hungary,2012,140.69
Serious assault,Hungary,2013,135.0
Serious assault,Hungary,2014,136.42
Serious assault,Hungary,2015,126.55
Serious assault,Ireland,2008,86.2
Serious assault,Ireland,2009,82.23
Serious assault,Ireland,2010,80.91
Serious assault,Ireland,2011,77.46
Serious assault,Ireland,2012,70.11
Serious assault,Ireland,2013,66.89
Serious assault,Ireland,2014,68.2
Serious assault,Ireland,2015,75.17
Serious assault,Ireland,2016,76.97
Serious assault,Ireland,2017,85.72
Serious assault,Ireland,2018,94.11
Serious assault,Ireland,2019,102.89
Serious assault,Ireland,2020,85.87
Serious assault,Ireland,2021,97.36
Serious assault,Ireland,2022,120.4
Serious assault,Iceland,2008,24.41
Serious assault,Iceland,2009,24.74
Serious assault,Iceland,2010,17.95
Serious assault,Iceland,2011,18.84
Serious assault,Iceland,2012,23.16
Serious assault,Iceland,2013,28.58
Serious assault,Iceland,2014,31.01
Serious assault,Iceland,2015,25.83
Serious assault,Iceland,2016,22.25
Serious assault,Iceland,2017,30.44
Serious assault,Iceland,2018,35.01
Serious assault,Iceland,2019,27.17
Serious assault,Iceland,2020,36.25
Serious assault,Iceland,2021,32.54
Serious assault,Iceland,2022,38.8
Serious assault,Italy,2008,112.17
Serious assault,Italy,2009,111.2
Serious assault,Italy,2010,109.59
Serious assault,Italy,2011,115.39
Serious assault,Italy,2012,117.06
Serious assault,Italy,2013,111.11
Serious assault,Italy,2014,1.6
Serious assault,Italy,2015,1.72
Serious assault,Italy,2016,1.64
Serious assault,Italy,2017,1.84
Serious assault,Italy,2018,1.63
Serious assault,Italy,2019,1.68
Serious assault,Italy,2020,1.41
Serious assault,Italy,2021,1.47
Serious assault,Italy,2022,1.46
Serious assault,Liechtenstein,2008,248.9
Serious assault,Liechtenstein,2009,252.89
Serious assault,Liechtenstein,2010,214.52
Serious assault,Liechtenstein,2011,215.77
Serious assault,Liechtenstein,2012,189.17
Serious assault,Liechtenstein,2013,279.6
Serious assault,Liechtenstein,2014,323.2
Serious assault,Liechtenstein,2015,216.77
Serious assault,Liechtenstein,2016,188.72
Serious assault,Liechtenstein,2017,219.52
Serious assault,Liechtenstein,2018,207.27
Serious assault,Liechtenstein,2019,198.03
Serious assault,Liechtenstein,2020,221.95
Serious assault,Liechtenstein,2021,153.63
Serious assault,Liechtenstein,2022,259.49
Serious assault,Lithuania,2008,7.81
Serious assault,Lithuania,2009,6.91
Serious assault,Lithuania,2010,7.8
Serious assault,Lithuania,2011,6.75
Serious assault,Lithuania,2012,5.93
Serious assault,Lithuania,2013,7.1
Serious assault,Lithuania,2014,6.93
Serious assault,Lithuania,2015,7.33
Serious assault,Lithuania,2016,7.48
Serious assault,Lithuania,2017,6.25
Serious assault,Lithuania,2018,6.59
Serious assault,Lithuania,2019,5.44
Serious assault,Lithuania,2020,5.37
Serious assault,Lithuania,2021,4.51
Serious assault,Lithuania,2022,5.17
Serious assault,Luxembourg,2008,478.92
Serious assault,Luxembourg,2009,476.19
Serious assault,Luxembourg,2010,118.71
Serious assault,Luxembourg,2011,133.05
Serious assault,Luxembourg,2012,128.99
Serious assault,Luxembourg,2013,132.76
Serious assault,Luxembourg,2014,132.44
Serious assault,Luxembourg,2015,108.0
Serious assault,Luxembourg,2016,98.74
Serious assault,Luxembourg,2017,99.04
Serious assault,Luxembourg,2018,101.49
Serious assault,Luxembourg,2019,103.76
Serious assault,Luxembourg,2020,77.62
Serious assault,Luxembourg,2021,86.34
Serious assault,Luxembourg,2022,107.84
Serious assault,Latvia,2008,61.41
Serious assault,Latvia,2009,56.18
Serious assault,Latvia,2010,57.82
Serious assault,Latvia,2011,55.96
Serious assault,Latvia,2012,64.8
Serious assault,Latvia,2013,22.63
Serious assault,Latvia,2014,28.43
Serious assault,Latvia,2015,26.89
Serious assault,Latvia,2016,33.37
Serious assault,Latvia,2017,33.69
Serious assault,Latvia,2018,33.4
Serious assault,Latvia,2019,33.28
Serious assault,Latvia,2020,31.24
Serious assault,Latvia,2021,29.0
Serious assault,Latvia,2022,28.74
Serious assault,Montenegro,2008,31.84
Serious assault,Montenegro,2009,30.14
Serious assault,Montenegro,2010,31.18
Serious assault,Montenegro,2011,25.97
Serious assault,Montenegro,2012,27.08
Serious assault,Montenegro,2013,27.86
Serious assault,Montenegro,2014,20.76
Serious assault,Montenegro,2015,22.5
Serious assault,Montenegro,2016,20.57
Serious assault,Montenegro,2017,23.62
Serious assault,Montenegro,2018,24.58
Serious assault,Montenegro,2019,18.48
Serious assault,Montenegro,2020,20.74
Serious assault,Montenegro,2021,19.01
Serious assault,Montenegro,2022,20.72
Serious assault,North Macedonia,2008,10.41
Serious assault,North Macedonia,2009,11.13
Serious assault,North Macedonia,2010,12.08
Serious assault,North Macedonia,2011,11.62
Serious assault,North Macedonia,2012,10.24
Serious assault,North Macedonia,2013,10.47
Serious assault,North Macedonia,2014,10.31
Serious assault,North Macedonia,2015,7.44
Serious assault,North Macedonia,2016,8.35
Serious assault,North Macedonia,2017,7.14
Serious assault,North Macedonia,2019,7.75
Serious assault,North Macedonia,2020,6.98
Serious assault,North Macedonia,2021,7.15
Serious assault,North Macedonia,2022,7.46
Serious assault,Malta,2008,48.06
Serious assault,Malta,2009,42.1
Serious assault,Malta,2010,43.48
Serious assault,Malta,2011,43.62
Serious assault,Malta,2012,41.67
Serious assault,Malta,2013,51.74
Serious assault,Malta,2014,37.61
Serious assault,Malta,2015,42.62
Serious assault,Malta,2016,44.4
Serious assault,Malta,2017,40.41
Serious assault,Malta,2018,38.47
Serious assault,Malta,2019,40.52
Serious assault,Malta,2020,35.56
Serious assault,Malta,2021,33.13
Serious assault,Malta,2022,42.23
Serious assault,Netherlands,2008,420.62
Serious assault,Netherlands,2009,398.46
Serious assault,Netherlands,2010,39.85
Serious assault,Netherlands,2011,39.36
Serious assault,Netherlands,2012,37.09
Serious assault,Netherlands,2013,33.25
Serious assault,Netherlands,2014,31.73
Serious assault,Netherlands,2015,30.18
Serious assault,Netherlands,2016,29.57
Serious assault,Netherlands,2017,28.01
Serious assault,Netherlands,2018,26.66
Serious assault,Netherlands,2019,28.01
Serious assault,Netherlands,2020,29.99
Serious assault,Netherlands,2021,26.15
Serious assault,Netherlands,2022,27.88
Serious assault,Norway,2008,69.22
Serious assault,Norway,2009,64.45
Serious assault,Norway,2010,60.21
Serious assault,Norway,2011,57.66
Serious assault,Norway,2012,55.78
Serious assault,Norway,2013,50.8
Serious assault,Norway,2014,46.54
Serious assault,Norway,2015,43.34
Serious assault,Norway,2016,42.2
Serious assault,Norway,2017,40.16
Serious assault,Norway,2018,37.16
Serious assault,Norway,2019,39.96
Serious assault,Norway,2020,33.27
Serious assault,Norway,2021,29.14
Serious assault,Norway,2022,35.61
Serious assault,Poland,2009,32.93
Serious assault,Poland,2010,28.96
Serious assault,Poland,2011,28.12
Serious assault,Poland,2012,25.54
Serious assault,Poland,2013,23.96
Serious assault,Poland,2014,21.7
Serious assault,Poland,2015,18.31
Serious assault,Poland,2016,20.07
Serious assault,Poland,2017,19.23
Serious assault,Poland,2018,17.41
Serious assault,Poland,2019,16.89
Serious assault,Poland,2020,14.17
Serious assault,Poland,2021,12.72
Serious assault,Poland,2022,13.63
Serious assault,Portugal,2008,7.2
Serious assault,Portugal,2009,6.85
Serious assault,Portugal,2010,8.16
Serious assault,Portugal,2011,7.68
Serious assault,Portugal,2012,6.65
Serious assault,Portugal,2013,5.53
Serious assault,Portugal,2014,5.2
Serious assault,Portugal,2015,4.52
Serious assault,Portugal,2016,5.04
Serious assault,Portugal,2017,5.66
Serious assault,Portugal,2018,5.63
Serious assault,Portugal,2019,6.43
Serious assault,Portugal,2020,5.59
Serious assault,Portugal,2021,6.11
Serious assault,Portugal,2022,7.16
Serious assault,Romania,2008,45.83
Serious assault,Romania,2009,44.38
Serious assault,Romania,2010,57.31
Serious assault,Romania,2011,57.43
Serious assault,Romania,2012,85.68
Serious assault,Romania,2013,87.77
Serious assault,Romania,2014,11.43
Serious assault,Romania,2015,1.5
Serious assault,Romania,2016,1.54
Serious assault,Romania,2017,1.38
Serious assault,Romania,2018,1.29
Serious assault,Romania,2019,1.46
Serious assault,Romania,2020,1.18
Serious assault,Romania,2021,0.95
Serious assault,Romania,2022,1.19
Serious assault,Serbia,2008,21.48
Serious assault,Serbia,2009,19.66
Serious assault,Serbia,2010,19.04
Serious assault,Serbia,2011,18.05
Serious assault,Serbia,2012,18.33
Serious assault,Serbia,2013,24.37
Serious assault,Serbia,2014,21.07
Serious assault,Serbia,2015,19.99
Serious assault,Serbia,2016,18.92
Serious assault,Serbia,2017,18.25
Serious assault,Serbia,2018,98.61
Serious assault,Serbia,2019,89.26
Serious assault,Serbia,2020,83.69
Serious assault,Serbia,2021,76.56
Serious assault,Serbia,2022,77.99
Serious assault,Sweden,2008,58.06
Serious assault,Sweden,2009,60.5
Serious assault,Sweden,2010,59.89
Serious assault,Sweden,2011,60.37
Serious assault,Sweden,2012,56.29
Serious assault,Sweden,2013,48.76
Serious assault,Sweden,2014,47.38
Serious assault,Sweden,2015,47.66
Serious assault,Sweden,2016,50.34
Serious assault,Sweden,2017,46.87
Serious assault,Sweden,2018,46.53
Serious assault,Sweden,2019,52.04
Serious assault,Sweden,2020,51.22
Serious assault,Sweden,2021,46.37
Serious assault,Sweden,2022,44.4
Serious assault,Slovenia,2008,10.64
Serious assault,Slovenia,2009,10.82
Serious assault,Slovenia,2010,10.5
Serious assault,Slovenia,2011,9.31
Serious assault,Slovenia,2012,10.56
Serious assault,Slovenia,2013,8.55
Serious assault,Slovenia,2014,9.02
Serious assault,Slovenia,2015,8.24
Serious assault,Slovenia,2016,7.51
Serious assault,Slovenia,2017,7.31
Serious assault,Slovenia,2018,7.3
Serious assault,Slovenia,2019,6.92
Serious assault,Slovenia,2020,6.11
Serious assault,Slovenia,2021,5.5
Serious assault,Slovenia,2022,5.41
Serious assault,Slovakia,2008,50.26
Serious assault,Slovakia,2009,48.64
Serious assault,Slovakia,2010,45.01
Serious assault,Slovakia,2011,41.3
Serious assault,Slovakia,2012,40.39
Serious assault,Slovakia,2013,37.28
Serious assault,Slovakia,2014,36.71
Serious assault,Slovakia,2015,34.35
Serious assault,Slovakia,2016,30.08
Serious assault,Slovakia,2017,29.79
Serious assault,Slovakia,2018,29.34
Serious assault,Slovakia,2019,28.02
Serious assault,Slovakia,2020,23.29
Serious assault,Slovakia,2021,20.72
Serious assault,Slovakia,2022,23.83
Serious assault,England and Wales,2008,767.4
Serious assault,England and Wales,2009,726.23
Serious assault,England and Wales,2010,661.46
Serious assault,England and Wales,2011,602.28
Serious assault,England and Wales,2012,551.63
Serious assault,England and Wales,2013,566.5
Serious assault,England and Wales,2014,653.16
Serious assault,England and Wales,2015,746.93
Serious assault,England and Wales,2016,802.85
Serious assault,England and Wales,2017,875.94
Serious assault,England and Wales,2018,927.84
Serious assault,Scotland (NUTS 2021),2008,1540.54
Serious assault,Scotland (NUTS 2021),2009,107.75
Serious assault,Scotland (NUTS 2021),2010,104.7
Serious assault,Scotland (NUTS 2021),2011,88.87
Serious assault,Scotland (NUTS 2021),2012,68.65
Serious assault,Scotland (NUTS 2021),2013,55.47
Serious assault,Scotland (NUTS 2021),2014,54.39
Serious assault,Scotland (NUTS 2021),2015,69.34
Serious assault,Scotland (NUTS 2021),2016,73.47
Serious assault,Scotland (NUTS 2021),2017,72.84
Serious assault,Scotland (NUTS 2021),2018,74.47
Serious assault,Northern Ireland (UK) (NUTS 2021),2008,87.5
Serious assault,Northern Ireland (UK) (NUTS 2021),2009,89.86
Serious assault,Northern Ireland (UK) (NUTS 2021),2010,80.66
Serious assault,Northern Ireland (UK) (NUTS 2021),2011,79.91
Serious assault,Northern Ireland (UK) (NUTS 2021),2012,70.26
Serious assault,Northern Ireland (UK) (NUTS 2021),2013,59.84
Serious assault,Northern Ireland (UK) (NUTS 2021),2014,63.79
Serious assault,Northern Ireland (UK) (NUTS 2021),2015,65.29
Serious assault,Northern Ireland (UK) (NUTS 2021),2016,59.78
Serious assault,Northern Ireland (UK) (NUTS 2021),2017,56.41
Serious assault,Northern Ireland (UK) (NUTS 2021),2018,56.66
Serious assault,Kosovo*,2008,156.79
Serious assault,Kosovo*,2009,162.29
Serious assault,Kosovo*,2010,170.28
Serious assault,Kosovo*,2011,208.62
Serious assault,Kosovo*,2016,20.49
Serious assault,Kosovo*,2017,18.56
Serious assault,Kosovo*,2018,16.9
Serious assault,Kosovo*,2019,15.31
Serious assault,Kosovo*,2020,15.37
Kidnapping,Albania,2008,0.32
Kidnapping,Albania,2009,0.16
Kidnapping,Albania,2011,0.07
Kidnapping,Albania,2014,0.07
Kidnapping,Albania,2015,0.27
Kidnapping,Albania,2016,0.13
Kidnapping,Albania,2017,0.07
Kidnapping,Albania,2018,0.17
Kidnapping,Albania,2019,0.14
Kidnapping,Albania,2020,0.18
Kidnapping,Albania,2021,0.14
Kidnapping,Albania,2022,0.14
Kidnapping,Austria,2008,0.13
Kidnapping,Austria,2009,0.06
Kidnapping,Austria,2010,0.11
Kidnapping,Austria,2011,0.06
Kidnapping,Austria,2012,0.13
Kidnapping,Austria,2013,0.05
Kidnapping,Austria,2014,0.01
Kidnapping,Austria,2015,0.03
Kidnapping,Austria,2016,0.02
Kidnapping,Austria,2017,0.03
Kidnapping,Austria,2018,0.06
Kidnapping,Austria,2019,0.07
Kidnapping,Austria,2020,0.03
Kidnapping,Austria,2021,0.03
Kidnapping,Austria,2022,0.1
Kidnapping,Bosnia and Herzegovina,2008,0.21
Kidnapping,Bosnia and Herzegovina,2009,0.16
Kidnapping,Bosnia and Herzegovina,2010,0.03
Kidnapping,Bosnia and Herzegovina,2011,0.03
Kidnapping,Bosnia and Herzegovina,2012,0.05
Kidnapping,Belgium,2008,9.5
Kidnapping,Belgium,2009,10.04
Kidnapping,Belgium,2010,10.35
Kidnapping,Belgium,2011,10.85
Kidnapping,Belgium,2012,10.68
Kidnapping,Belgium,2013,10.42
Kidnapping,Belgium,2014,10.29
Kidnapping,Belgium,2015,10.42
Kidnapping,Belgium,2016,10.62
Kidnapping,Belgium,2017,10.31
Kidnapping,Bulgaria,2008,1.69
Kidnapping,Bulgaria,2009,1.9
Kidnapping,Bulgaria,2010,1.59
Kidnapping,Bulgaria,2011,1.04
Kidnapping,Bulgaria,2012,1.02
Kidnapping,Bulgaria,2013,1.19
Kidnapping,Bulgaria,2014,1.31
Kidnapping,Bulgaria,2015,1.03
Kidnapping,Bulgaria,2016,0.98
Kidnapping,Bulgaria,2017,1.44
Kidnapping,Bulgaria,2018,0.89
Kidnapping,Bulgaria,2019,1.03
Kidnapping,Bulgaria,2020,1.17
Kidnapping,Bulgaria,2021,1.0
Kidnapping,Bulgaria,2022,1.21
Kidnapping,Switzerland,2008,0.02
Kidnapping,Switzerland,2009,0.05
Kidnapping,Switzerland,2010,0.0
Kidnapping,Switzerland,2011,0.05
Kidnapping,Switzerland,2012,0.06
Kidnapping,Switzerland,2013,0.04
Kidnapping,Switzerland,2014,0.01
Kidnapping,Switzerland,2015,0.05
Kidnapping,Switzerland,2016,0.04
Kidnapping,Switzerland,2017,0.04
Kidnapping,Switzerland,2018,0.09
Kidnapping,Switzerland,2019,0.06
Kidnapping,Switzerland,2020,0.07
Kidnapping,Switzerland,2021,0.06
Kidnapping,Switzerland,2022,0.05
Kidnapping,Cyprus,2008,1.55
Kidnapping,Cyprus,2009,3.26
Kidnapping,Cyprus,2010,3.3
Kidnapping,Cyprus,2011,1.43
Kidnapping,Cyprus,2012,0.58
Kidnapping,Cyprus,2013,0.46
Kidnapping,Cyprus,2014,0.93
Kidnapping,Cyprus,2015,0.0
Kidnapping,Cyprus,2016,0.12
Kidnapping,Cyprus,2017,1.05
Kidnapping,Cyprus,2018,0.46
Kidnapping,Cyprus,2019,0.91
Kidnapping,Cyprus,2020,0.23
Kidnapping,Cyprus,2021,0.33
Kidnapping,Cyprus,2022,0.66
Kidnapping,Czechia,2008,0.15
Kidnapping,Czechia,2009,0.12
Kidnapping,Czechia,2010,0.15
Kidnapping,Czechia,2011,0.1
Kidnapping,Czechia,2012,0.16
Kidnapping,Czechia,2013,0.19
Kidnapping,Czechia,2014,0.14
Kidnapping,Czechia,2015,0.11
Kidnapping,Czechia,2016,0.17
Kidnapping,Czechia,2017,0.16
Kidnapping,Czechia,2018,0.12
Kidnapping,Czechia,2019,0.11
Kidnapping,Czechia,2020,0.1
Kidnapping,Czechia,2021,0.02
Kidnapping,Czechia,2022,0.02
Kidnapping,Germany,2008,2.26
Kidnapping,Germany,2009,6.25
Kidnapping,Germany,2010,5.99
Kidnapping,Germany,2011,6.14
Kidnapping,Germany,2012,6.45
Kidnapping,Germany,2013,6.12
Kidnapping,Germany,2014,6.18
Kidnapping,Germany,2015,5.87
Kidnapping,Germany,2016,5.79
Kidnapping,Germany,2017,5.6
Kidnapping,Germany,2018,5.51
Kidnapping,Germany,2019,5.44
Kidnapping,Germany,2020,5.49
Kidnapping,Germany,2021,6.09
Kidnapping,Germany,2022,5.88
Kidnapping,Estonia,2008,0.15
Kidnapping,Estonia,2009,0.0
Kidnapping,Estonia,2010,0.0
Kidnapping,Estonia,2011,0.23
Kidnapping,Estonia,2012,0.0
Kidnapping,Estonia,2013,0.08
Kidnapping,Estonia,2014,0.0
Kidnapping,Estonia,2015,0.0
Kidnapping,Estonia,2016,0.0
Kidnapping,Estonia,2017,0.0
Kidnapping,Estonia,2018,0.0
Kidnapping,Estonia,2019,0.0
Kidnapping,Estonia,2020,0.0
Kidnapping,Estonia,2021,0.0
Kidnapping,Estonia,2022,0.0
Kidnapping,Greece,2008,0.27
Kidnapping,Greece,2009,0.14
Kidnapping,Greece,2010,1.56
Kidnapping,Greece,2011,1.42
Kidnapping,Greece,2012,1.25
Kidnapping,Greece,2013,0.86
Kidnapping,Greece,2014,0.53
Kidnapping,Greece,2015,0.82
Kidnapping,Greece,2016,0.57
Kidnapping,Greece,2017,0.72
Kidnapping,Greece,2018,0.69
Kidnapping,Greece,2019,0.67
Kidnapping,Greece,2020,0.68
Kidnapping,Greece,2021,0.58
Kidnapping,Greece,2022,0.94
Kidnapping,Spain,2008,0.52
Kidnapping,Spain,2009,0.37
Kidnapping,Spain,2010,0.27
Kidnapping,Spain,2011,0.24
Kidnapping,Spain,2012,0.25
Kidnapping,Spain,2013,0.26
Kidnapping,Spain,2014,0.21
Kidnapping,Spain,2015,0.2
Kidnapping,Spain,2016,0.2
Kidnapping,Spain,2017,0.15
Kidnapping,Spain,2018,0.17
Kidnapping,Spain,2019,0.19
Kidnapping,Spain,2020,0.16
Kidnapping,Spain,2021,0.2
Kidnapping,Spain,2022,0.18
Kidnapping,Finland,2008,0.0
Kidnapping,Finland,2009,0.06
Kidnapping,Finland,2010,0.02
Kidnapping,Finland,2011,0.06
Kidnapping,Finland,2012,0.02
Kidnapping,Finland,2013,0.02
Kidnapping,Finland,2014,0.02
Kidnapping,Finland,2015,0.02
Kidnapping,Finland,2016,0.05
Kidnapping,Finland,2017,0.04
Kidnapping,Finland,2018,0.07
Kidnapping,Finland,2019,0.02
Kidnapping,Finland,2020,0.05
Kidnapping,Finland,2021,0.04
Kidnapping,Finland,2022,0.04
Kidnapping,France,2008,3.24
Kidnapping,France,2009,3.24
Kidnapping,France,2010,3.24
Kidnapping,France,2011,3.44
Kidnapping,France,2012,3.24
Kidnapping,France,2013,3.45
Kidnapping,France,2014,4.48
Kidnapping,France,2015,5.74
Kidnapping,France,2016,5.72
Kidnapping,Croatia,2008,0.37
Kidnapping,Croatia,2009,0.28
Kidnapping,Croatia,2010,0.3
Kidnapping,Croatia,2011,0.14
Kidnapping,Croatia,2012,0.14
Kidnapping,Croatia,2013,0.02
Kidnapping,Croatia,2014,0.02
Kidnapping,Croatia,2015,0.0
Kidnapping,Croatia,2016,0.02
Kidnapping,Croatia,2017,0.0
Kidnapping,Croatia,2018,0.0
Kidnapping,Croatia,2019,0.02
Kidnapping,Croatia,2020,0.02
Kidnapping,Croatia,2021,0.07
Kidnapping,Croatia,2022,0.0
Kidnapping,Hungary,2008,0.11
Kidnapping,Hungary,2009,0.14
Kidnapping,Hungary,2010,0.18
Kidnapping,Hungary,2011,0.12
Kidnapping,Hungary,2012,0.09
Kidnapping,Hungary,2013,0.07
Kidnapping,Hungary,2014,0.03
Kidnapping,Hungary,2015,0.11
Kidnapping,Hungary,2016,0.05
Kidnapping,Hungary,2017,0.03
Kidnapping,Hungary,2018,0.03
Kidnapping,Hungary,2019,0.05
