domain,isced11,geo,OBS_VALUE
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Croatia,3.1
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Hungary,4.7
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Ireland,3.7
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Iceland,4.2
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Italy,2.5
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Lithuania,4.8
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Luxembourg,5.6
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Latvia,4.1
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Montenegro,5.5
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),North Macedonia,5.2
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Malta,5.6
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Netherlands,6.2
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Norway,6.5
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Poland,3.9
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Portugal,2.3
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Romania,5.1
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Serbia,3.2
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Sweden,6.1
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Slovenia,2.0
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Slovakia,3.9
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Türkiye,4.3
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),United Kingdom,4.4
Political system,All ISCED 2011 levels,Austria,4.4
Political system,All ISCED 2011 levels,Belgium,4.6
Political system,All ISCED 2011 levels,Bulgaria,2.6
Political system,All ISCED 2011 levels,Switzerland,6.6
Political system,All ISCED 2011 levels,Cyprus,2.6
Political system,All ISCED 2011 levels,Czechia,3.7
Political system,All ISCED 2011 levels,Germany,4.9
Political system,All ISCED 2011 levels,Denmark,5.9
Political system,All ISCED 2011 levels,Estonia,4.4
Political system,All ISCED 2011 levels,Greece,2.0
Political system,All ISCED 2011 levels,Spain,1.9
Political system,All ISCED 2011 levels,Finland,6.0
Political system,All ISCED 2011 levels,France,3.0
Political system,All ISCED 2011 levels,Croatia,2.8
Political system,All ISCED 2011 levels,Hungary,4.5
Political system,All ISCED 2011 levels,Ireland,3.2
Political system,All ISCED 2011 levels,Iceland,3.7
Political system,All ISCED 2011 levels,Italy,2.1
Political system,All ISCED 2011 levels,Lithuania,4.5
Political system,All ISCED 2011 levels,Luxembourg,5.0
Political system,All ISCED 2011 levels,Latvia,3.6
Political system,All ISCED 2011 levels,Montenegro,4.6
Political system,All ISCED 2011 levels,North Macedonia,4.4
Political system,All ISCED 2011 levels,Malta,5.7
Political system,All ISCED 2011 levels,Netherlands,5.5
Political system,All ISCED 2011 levels,Norway,5.9
Political system,All ISCED 2011 levels,Poland,3.5
Political system,All ISCED 2011 levels,Portugal,1.7
Political system,All ISCED 2011 levels,Romania,4.8
Political system,All ISCED 2011 levels,Serbia,3.2
Political system,All ISCED 2011 levels,Sweden,5.5
Political system,All ISCED 2011 levels,Slovenia,1.8
Political system,All ISCED 2011 levels,Slovakia,3.5
Political system,All ISCED 2011 levels,Türkiye,4.8
Political system,All ISCED 2011 levels,United Kingdom,3.8
